Date,Close
5/21/2015,31.25
5/22/2015,34.94
5/25/2015,37.26
5/26/2015,36.92
5/27/2015,34.5
5/28/2015,34
5/29/2015,33.52
6/1/2015,33.85
6/2/2015,33.13
6/3/2015,34.19
6/4/2015,33.45
6/5/2015,33.98
6/8/2015,33.64
6/9/2015,34.99
6/10/2015,34.5
6/11/2015,37.65
6/12/2015,41.45
6/15/2015,43.5
6/16/2015,46.95
6/17/2015,47.19
6/18/2015,43.5
6/19/2015,43.2
6/23/2015,43.41
6/24/2015,44.6
6/25/2015,43.3
6/26/2015,41.2
6/29/2015,38.77
6/30/2015,42.38
7/2/2015,39.25
7/3/2015,39.8
7/6/2015,38.46
7/7/2015,39.01
7/8/2015,37.05
7/9/2015,37.25
7/10/2015,37.48
7/13/2015,38.75
7/14/2015,39.45
7/15/2015,37.9
7/16/2015,38
7/17/2015,41.9
7/20/2015,43.64
7/21/2015,43
7/22/2015,42.06
7/23/2015,42.83
7/24/2015,43.56
7/27/2015,42.86
7/28/2015,44.25
7/29/2015,44.52
7/30/2015,49.5
7/31/2015,48.88
8/4/2015,50.4
8/5/2015,50.38
8/6/2015,47.32
8/7/2015,46.51
8/10/2015,43.06
8/11/2015,46.05
8/12/2015,45.26
8/13/2015,46.45
8/14/2015,45.48
8/17/2015,45.36
8/18/2015,42.52
8/19/2015,40.91
8/20/2015,38.58
8/21/2015,36.68
8/24/2015,35
8/25/2015,36.03
8/26/2015,37.65
8/27/2015,37.57
8/28/2015,36.99
8/31/2015,36.71
9/1/2015,34.98
9/2/2015,35.3
9/3/2015,36.09
9/4/2015,35.5
9/8/2015,35.51
9/9/2015,34.38
9/10/2015,34
9/11/2015,34.9
9/14/2015,36
9/15/2015,37.22
9/16/2015,38.09
9/17/2015,47.25
9/18/2015,46.94
9/21/2015,46.05
9/22/2015,44.48
9/23/2015,44.73
9/24/2015,44.46
9/25/2015,45.21
9/28/2015,44.25
9/29/2015,45.25
9/30/2015,46.66
10/1/2015,46.38
10/2/2015,47.28
10/5/2015,48
