Symbol,Date,Close
OTEX,1/2/2018,43.58
OTEX,1/3/2018,43.07
OTEX,1/4/2018,42.91
OTEX,1/5/2018,42.57
OTEX,1/8/2018,42.16
OTEX,1/9/2018,42.13
OTEX,1/10/2018,41.99
OTEX,1/11/2018,42.29
OTEX,1/12/2018,42.17
OTEX,1/15/2018,41.79
OTEX,1/16/2018,41.74
OTEX,1/17/2018,41.86
OTEX,1/18/2018,41.85
OTEX,1/19/2018,42.06
OTEX,1/22/2018,42.03
OTEX,1/23/2018,42.31
OTEX,1/24/2018,42.33
OTEX,1/25/2018,41.87
OTEX,1/26/2018,42.13
OTEX,1/29/2018,42.11
OTEX,1/30/2018,42.03
OTEX,1/31/2018,42.12
OTEX,2/1/2018,47.48
OTEX,2/2/2018,45.32
OTEX,2/5/2018,44.98
OTEX,2/6/2018,44.47
OTEX,2/7/2018,44.01
OTEX,2/8/2018,43.31
OTEX,2/9/2018,43.41
OTEX,2/12/2018,43.75
OTEX,2/13/2018,43.72
OTEX,2/14/2018,44.35
OTEX,2/15/2018,44.12
OTEX,2/16/2018,44.08
OTEX,2/20/2018,44.24
OTEX,2/21/2018,44.05
OTEX,2/22/2018,43.9
OTEX,2/23/2018,44.84
OTEX,2/26/2018,45.25
OTEX,2/27/2018,45.33
OTEX,2/28/2018,45.05
OTEX,3/1/2018,44.49
OTEX,3/2/2018,44.92
OTEX,3/5/2018,45.46
OTEX,3/6/2018,45.29
OTEX,3/7/2018,45.76
OTEX,3/8/2018,46.51
OTEX,3/9/2018,46.4
OTEX,3/12/2018,46.71
OTEX,3/13/2018,47.02
OTEX,3/14/2018,47.19
OTEX,3/15/2018,47.29
OTEX,3/16/2018,47.64
OTEX,3/19/2018,46.56
OTEX,3/20/2018,46.35
OTEX,3/21/2018,46.09
OTEX,3/22/2018,44.84
OTEX,3/23/2018,44.1
OTEX,3/26/2018,44.53
OTEX,3/27/2018,43.91
OTEX,3/28/2018,44.02
OTEX,3/29/2018,44.82
OTEX,4/2/2018,43.85
OTEX,4/3/2018,44.03
OTEX,4/4/2018,43.99
OTEX,4/5/2018,43.86
OTEX,4/6/2018,43.63
OTEX,4/9/2018,43.91
OTEX,4/10/2018,43.67
OTEX,4/11/2018,42.94
OTEX,4/12/2018,43.37
OTEX,4/13/2018,43.06
OTEX,4/16/2018,43.47
OTEX,4/17/2018,45
OTEX,4/18/2018,45.19
OTEX,4/19/2018,44.83
OTEX,4/20/2018,45.02
OTEX,4/23/2018,45.21
OTEX,4/24/2018,44.76
OTEX,4/25/2018,45.01
OTEX,4/26/2018,45.76
OTEX,4/27/2018,45.78
OTEX,4/30/2018,45.33
OTEX,5/1/2018,46.03
OTEX,5/2/2018,46.5
OTEX,5/3/2018,46.21
OTEX,5/4/2018,46.53
OTEX,5/7/2018,47.16
OTEX,5/8/2018,47.1
OTEX,5/9/2018,47.26
OTEX,5/10/2018,44.3
OTEX,5/11/2018,44.52
OTEX,5/14/2018,44.35
OTEX,5/15/2018,43.78
OTEX,5/16/2018,43.61
OTEX,5/17/2018,43.46
OTEX,5/18/2018,43.77
OTEX,5/22/2018,43.83
OTEX,5/23/2018,44.15
OTEX,5/24/2018,44.69
OTEX,5/25/2018,45.04
OTEX,5/28/2018,44.69
OTEX,5/29/2018,44.51
OTEX,5/30/2018,44.81
OTEX,5/31/2018,45.23
OTEX,6/1/2018,45.76
OTEX,6/4/2018,45.68
OTEX,6/5/2018,46.1
OTEX,6/6/2018,46.2
OTEX,6/7/2018,45.97
OTEX,6/8/2018,46.16
OTEX,6/11/2018,46.53
OTEX,6/12/2018,47.04
OTEX,6/13/2018,47.19
OTEX,6/14/2018,47.1
OTEX,6/15/2018,47.31
OTEX,6/18/2018,47.03
OTEX,6/19/2018,47.09
OTEX,6/20/2018,47.89
OTEX,6/21/2018,47.52
OTEX,6/22/2018,47.54
OTEX,6/25/2018,46.29
OTEX,6/26/2018,46.48
OTEX,6/27/2018,46.21
OTEX,6/28/2018,46.37
OTEX,6/29/2018,46.27
OTEX,7/3/2018,46.63
OTEX,7/4/2018,46.8
OTEX,7/5/2018,47.35
OTEX,7/6/2018,47.77
OTEX,7/9/2018,48.47
OTEX,7/10/2018,48.77
OTEX,7/11/2018,48.62
OTEX,7/12/2018,49.7
OTEX,7/13/2018,49.9
OTEX,7/16/2018,50.01
OTEX,7/17/2018,49.37
OTEX,7/18/2018,49.68
OTEX,7/19/2018,50
OTEX,7/20/2018,49.73
OTEX,7/23/2018,49.61
OTEX,7/24/2018,49.39
OTEX,7/25/2018,49.48
OTEX,7/26/2018,50.26
OTEX,7/27/2018,49.41
OTEX,7/30/2018,48.15
OTEX,7/31/2018,48.41
OTEX,8/1/2018,48.6
OTEX,8/2/2018,49.18
OTEX,8/3/2018,51.15
OTEX,8/7/2018,50.48
OTEX,8/8/2018,51.16
OTEX,8/9/2018,51.35
OTEX,8/10/2018,51.16
OTEX,8/13/2018,51.25
OTEX,8/14/2018,51.44
OTEX,8/15/2018,50.77
OTEX,8/16/2018,51
OTEX,8/17/2018,50.69
OTEX,8/20/2018,50.48
OTEX,8/21/2018,50.22
OTEX,8/22/2018,49.93
OTEX,8/23/2018,50.82
OTEX,8/24/2018,50.72
OTEX,8/27/2018,50.46
OTEX,8/28/2018,50.39
OTEX,8/29/2018,50.81
OTEX,8/30/2018,51.57
OTEX,8/31/2018,51.18
OTEX,9/4/2018,51.86
OTEX,9/5/2018,51.26
OTEX,9/6/2018,50.55
OTEX,9/7/2018,50.55
OTEX,9/10/2018,50.58
OTEX,9/11/2018,50.39
OTEX,9/12/2018,49.81
OTEX,9/13/2018,49.81
OTEX,9/14/2018,50.41
OTEX,9/17/2018,49.71
OTEX,9/18/2018,49.6
OTEX,9/19/2018,49.41
OTEX,9/20/2018,49.67
OTEX,9/21/2018,49.42
OTEX,9/24/2018,49.17
OTEX,9/25/2018,49.19
OTEX,9/26/2018,49.34
OTEX,9/27/2018,50.19
OTEX,9/28/2018,49.15
OTEX,10/1/2018,48.38
OTEX,10/2/2018,47.72
OTEX,10/3/2018,47.71
OTEX,10/4/2018,47.27
OTEX,10/5/2018,46.86
OTEX,10/9/2018,46.05
OTEX,10/10/2018,44.6
OTEX,10/11/2018,44.27
OTEX,10/12/2018,45.33
OTEX,10/15/2018,44.31
OTEX,10/16/2018,45.38
OTEX,10/17/2018,45.36
OTEX,10/18/2018,44.93
OTEX,10/19/2018,44.59
OTEX,10/22/2018,44.98
OTEX,10/23/2018,45.04
OTEX,10/24/2018,43.81
OTEX,10/25/2018,44.05
OTEX,10/26/2018,43.32
OTEX,10/29/2018,42.96
OTEX,10/30/2018,43.64
OTEX,10/31/2018,44.44
OTEX,11/1/2018,44.53
OTEX,11/2/2018,43.51
OTEX,11/5/2018,43.22
OTEX,11/6/2018,43.46
OTEX,11/7/2018,44.2
OTEX,11/8/2018,43.85
OTEX,11/9/2018,43.58
OTEX,11/12/2018,42.97
OTEX,11/13/2018,43.68
OTEX,11/14/2018,43.33
OTEX,11/15/2018,43.34
OTEX,11/16/2018,43.67
OTEX,11/19/2018,42.88
OTEX,11/20/2018,43.35
OTEX,11/21/2018,44.29
OTEX,11/22/2018,44.09
OTEX,11/23/2018,44.6
OTEX,11/26/2018,45.25
OTEX,11/27/2018,45.32
OTEX,11/28/2018,45.9
OTEX,11/29/2018,45.15
OTEX,11/30/2018,45.53
OTEX,12/3/2018,45.73
OTEX,12/4/2018,45.35
OTEX,12/5/2018,45.61
OTEX,12/6/2018,44.67
OTEX,12/7/2018,44
OTEX,12/10/2018,44.73
OTEX,12/11/2018,44.84
OTEX,12/12/2018,45.47
OTEX,12/13/2018,45.2
OTEX,12/14/2018,43.8
OTEX,12/17/2018,42.93
OTEX,12/18/2018,44.92
OTEX,12/19/2018,44.51
OTEX,12/20/2018,44.01
OTEX,12/21/2018,42.8
OTEX,12/24/2018,42.82
OTEX,12/27/2018,44.49
OTEX,12/28/2018,44.26
OTEX,12/31/2018,44.5
OTEX,1/2/2019,44.05
OTEX,1/3/2019,42.44
OTEX,1/4/2019,43.2
OTEX,1/7/2019,43.57
OTEX,1/8/2019,44.79
OTEX,1/9/2019,45.18
OTEX,1/10/2019,45.66
OTEX,1/11/2019,45.76
OTEX,1/14/2019,45.47
OTEX,1/15/2019,45.65
OTEX,1/16/2019,45.76
OTEX,1/17/2019,46.18
OTEX,1/18/2019,46.87
OTEX,1/21/2019,46.44
OTEX,1/22/2019,46.45
OTEX,1/23/2019,46.73
OTEX,1/24/2019,47.06
OTEX,1/25/2019,47.39
OTEX,1/28/2019,47.05
OTEX,1/29/2019,46.56
OTEX,1/30/2019,46.41
OTEX,1/31/2019,46.71
OTEX,2/1/2019,48.68
OTEX,2/4/2019,49.31
OTEX,2/5/2019,49.5
OTEX,2/6/2019,49.5
OTEX,2/7/2019,49.16
OTEX,2/8/2019,49.09
OTEX,2/11/2019,48.82
OTEX,2/12/2019,48.82
OTEX,2/13/2019,49.11
OTEX,2/14/2019,49.73
OTEX,2/15/2019,49.7
OTEX,2/19/2019,49.59
OTEX,2/20/2019,49.68
OTEX,2/21/2019,49.43
OTEX,2/22/2019,49.81
