,filing_date,municipality,amount
0,2009-01-02,Tarentum Boro,61821.09
1,2009-01-02,Elizabeth Township,24531.41
2,2009-01-02,N. Fayette Township,21787.83
3,2009-01-02,Elizabeth Township,63072.46
4,2009-01-02,Homestead Boro,63693.1
5,2009-01-02,Forest Hills Boro,145275.38
6,2009-01-05,Pittsburgh,73179.14
7,2009-01-05,Pittsburgh,66227.57
8,2009-01-05,Monroeville Boro,91456.8
9,2009-01-05,Homestead Boro,34550.95
10,2009-01-05,Pittsburgh,187507.55
11,2009-01-05,Forest Hills Boro,59882.22
12,2009-01-05,Monroeville Boro,122433.66
13,2009-01-05,City of Duquesne,43391.94
14,2009-01-05,Baldwin Boro,42491.2
15,2009-01-05,Mt. Oliver Boro,71372.68
16,2009-01-05,Liberty Boro,76539.93
17,2009-01-05,Swissvale Boro,77889.11
18,2009-01-05,Mt. Lebanon Township,98224.75
19,2009-01-05,Pittsburgh,70782.33
20,2009-01-06,Pittsburgh,0.0
21,2009-01-06,Monroeville Boro,77434.5
22,2009-01-06,Castle Shannon Boro,154502.47
23,2009-01-06,Swissvale Boro,81922.7
24,2009-01-06,Pittsburgh,27451.39
25,2009-01-07,Pittsburgh,85923.82
26,2009-01-07,Crescent Township,146755.12
27,2009-01-07,Plum Boro,291660.16
28,2009-01-07,Upper St. Clair Twp.,216392.08
29,2009-01-07,White Oak Boro,521553.24
30,2009-01-07,Ross Township,102817.72
31,2009-01-07,Pittsburgh,70915.61
32,2009-01-07,Robinson Township,71013.06
33,2009-01-07,Mt. Lebanon Township,129292.07
34,2009-01-07,Pittsburgh,75269.04
35,2009-01-07,West View Boro,136110.07
36,2009-01-07,Penn Hills Township,80851.55
37,2009-01-07,Penn Hills Township,62658.68
38,2009-01-07,Pittsburgh,168199.58
39,2009-01-07,Pittsburgh,168199.58
40,2009-01-07,Bethel Park Boro,149581.61
41,2009-01-07,Springdale Boro,126808.01
42,2009-01-07,Pittsburgh,44718.42
43,2009-01-07,Penn Hills Township,122916.61
44,2009-01-07,McCandless Township,158254.26
45,2009-01-07,S. Fayette Township,206600.06
46,2009-01-07,Penn Hills Township,72071.87
47,2009-01-07,Moon Township,41997.8
48,2009-01-07,Plum Boro,109773.88
49,2009-01-07,Ross Township,52012.06
50,2009-01-08,Crafton Boro,0.0
51,2009-01-08,Baldwin Boro,153638.56
52,2009-01-08,City of Duquesne,72213.21
53,2009-01-08,Brackenridge Boro,87920.97
54,2009-01-08,Munhall Boro,20228.36
55,2009-01-08,Pittsburgh,24617.54
56,2009-01-08,West Mifflin Boro,83148.61
57,2009-01-08,Penn Hills Township,116392.93
58,2009-01-08,Brentwood Boro,90565.38
59,2009-01-08,Verona Boro,65657.01
60,2009-01-08,McCandless Township,35905.9
61,2009-01-08,West Deer Township,105120.12
62,2009-01-08,Baldwin Boro,103940.21
63,2009-01-08,Leetsdale Boro,71999.09
64,2009-01-08,Pittsburgh,56798.97
65,2009-01-09,Upper St. Clair Twp.,121372.87
66,2009-01-09,Forest Hills Boro,93366.94
67,2009-01-09,Scott Township,120526.88
68,2009-01-09,Wilkinsburg Boro,38025.04
69,2009-01-09,Elizabeth Township,104979.01
70,2009-01-09,Baldwin Boro,85312.51
71,2009-01-09,Dormont Boro,69103.6
72,2009-01-09,Carnegie Boro,162737.2
73,2009-01-09,Pittsburgh,16134.76
74,2009-01-09,Pittsburgh,35930.62
75,2009-01-09,Pittsburgh,62259.57
76,2009-01-09,Leetsdale Boro,66309.72
77,2009-01-09,Pittsburgh,5054.98
78,2009-01-09,Sewickley Boro,665856.94
79,2009-01-09,West Deer Township,179371.22
80,2009-01-09,Plum Boro,231461.45
81,2009-01-09,Brackenridge Boro,27345.25
82,2009-01-09,Moon Township,0.0
83,2009-01-09,Crafton Boro,141818.88
84,2009-01-09,Shaler Township,87069.83
85,2009-01-09,Penn Hills Township,72919.35
86,2009-01-09,McCandless Township,263999.87
87,2009-01-09,Brentwood Boro,119087.73
88,2009-01-09,Brentwood Boro,119087.73
89,2009-01-09,Brentwood Boro,119087.73
90,2009-01-12,Pittsburgh,34505.19
91,2009-01-09,O'Hara Township,21621.31
92,2009-01-13,Port Vue Boro,38190.03
93,2009-01-13,Dormont Boro,95608.92
94,2009-01-13,Castle Shannon Boro,103037.04
95,2009-01-13,Castle Shannon Boro,103037.04
96,2009-01-13,N. Braddock Boro,53977.64
97,2009-01-13,Wilkinsburg Boro,70527.17
98,2009-01-14,N. Versailles Twp.,0.0
99,2009-01-14,Brackenridge Boro,56715.69
100,2009-01-14,Pittsburgh,27226.08
101,2009-01-14,Wilkinsburg Boro,27388.82
102,2009-01-15,Pittsburgh,52823.97
103,2009-01-15,Pittsburgh,197957.12
104,2009-01-15,Pittsburgh,197957.12
105,2009-01-15,Pittsburgh,197957.12
106,2009-01-15,Pittsburgh,197957.12
107,2009-01-15,Pittsburgh,197957.12
108,2009-01-15,N. Braddock Boro,31774.59
109,2009-01-16,Pittsburgh,0.0
110,2009-01-19,Penn Hills Township,70713.31
111,2009-01-21,Pittsburgh,143935.97
112,2009-01-21,Pittsburgh,985.31
113,2009-01-21,Pittsburgh,985.31
114,2009-01-21,Pittsburgh,985.31
115,2009-01-21,City of McKeesport,40768.56
116,2009-01-22,Pittsburgh,93066.47
117,2009-01-22,Pittsburgh,32543.69
118,2009-01-22,Pittsburgh,27819.74
119,2009-01-22,West Mifflin Boro,74651.02
120,2009-01-23,Wilkinsburg Boro,27631.65
121,2009-01-23,Wilkinsburg Boro,21966.88
122,2009-01-23,Versailles Boro,80491.43
123,2009-01-22,Swissvale Boro,23977.47
124,2009-01-22,Pittsburgh,54707.83
125,2009-01-22,N. Versailles Twp.,137929.17
126,2009-01-23,Chalfant Boro,45979.39
127,2009-01-23,Swissvale Boro,0.0
128,2009-01-23,Wilkinsburg Boro,132936.9
129,2009-01-23,Wilkinsburg Boro,132936.9
130,2009-01-23,City of McKeesport,86372.24
131,2009-01-23,Emsworth Boro,0.0
132,2009-01-26,Pittsburgh,0.0
133,2009-01-26,Mt. Oliver Boro,31034.96
134,2009-01-26,Pittsburgh,297214.56
135,2009-01-27,Shaler Township,299711.05
136,2009-01-27,Swissvale Boro,54231.29
137,2009-01-28,Moon Township,99662.55
138,2009-01-28,Springdale Boro,40672.55
139,2009-01-28,Brentwood Boro,288418.33
140,2009-01-27,Etna Boro,92909.92
141,2009-01-27,West View Boro,97421.54
142,2009-01-28,Pittsburgh,3740.21
143,2009-01-29,Stowe Township,42662.33
144,2009-01-28,Brentwood Boro,80990.72
145,2009-01-28,Pittsburgh,55114.16
146,2009-01-29,Plum Boro,424495.27
147,2009-01-28,Wilkinsburg Boro,41780.43
148,2009-01-29,Hampton Township,0.0
149,2009-01-30,Pittsburgh,54548.58
150,2009-01-29,Pittsburgh,110030.04
151,2009-01-29,Penn Hills Township,84272.68
152,2009-01-29,Plum Boro,58911.6
153,2009-01-30,West Mifflin Boro,0.0
154,2009-02-02,Pittsburgh,87740.78
155,2009-02-03,Wilkins Township,68458.35
156,2009-02-04,O'Hara Township,20138183.54
157,2009-02-04,O'Hara Township,20138183.54
158,2009-02-04,Stowe Township,22215.87
159,2009-02-04,Whitaker Boro,41263.66
160,2009-02-04,Collier Township,224815.14
161,2009-02-04,Pittsburgh,107068.78
162,2009-02-04,Pittsburgh,44251.7
163,2009-02-05,Pittsburgh,232773.08
164,2009-02-05,Pittsburgh,210397.99
165,2009-02-05,Pittsburgh,482019.45
166,2009-02-05,Avalon Boro,31928.71
167,2009-02-06,Swissvale Boro,51162.37
168,2009-02-06,City of Clairton,28773.77
169,2009-02-06,Jefferson Hills Boro,0.0
170,2009-02-09,Swissvale Boro,0.0
171,2009-02-09,Penn Hills Township,74189.84
172,2009-02-09,City of Duquesne,42655.84
173,2009-02-10,Franklin Park Boro,246837.18
174,2009-02-10,Mt. Oliver Boro,137696.1
175,2009-02-10,West Mifflin Boro,107237.97
176,2009-02-10,Moon Township,146479.47
177,2009-02-10,Moon Township,146479.47
178,2009-02-10,Ross Township,94091.8
179,2009-02-11,Tarentum Boro,58054.87
180,2009-02-11,Bellevue Boro,335474.17
181,2009-02-11,Aleppo Township,0.0
182,2009-02-11,Pitcairn Boro,43249.46
183,2009-02-11,Pittsburgh,55005.28
184,2009-02-11,Penn Hills Township,0.0
185,2009-02-11,West Mifflin Boro,62551.15
186,2009-02-12,Bellevue Boro,105115.04
187,2009-02-12,Mt. Lebanon Township,216812.17
188,2009-02-12,City of McKeesport,40650.13
189,2009-02-12,Heidelberg Boro,242904.05
190,2009-02-13,Coraopolis Boro,2728997.23
191,2009-02-13,Coraopolis Boro,2728997.23
192,2009-02-13,Moon Township,147735.18
193,2009-02-13,Pittsburgh,79125.79
194,2009-02-17,Upper St. Clair Twp.,201078.24
195,2009-02-18,Collier Township,123820.03
196,2009-02-17,Pittsburgh,162141.16
197,2009-02-17,Pittsburgh,83915.3
198,2009-02-17,Turtle Creek Boro,31114.28
199,2009-02-18,Pittsburgh,66349.62
200,2009-02-18,City of McKeesport,190505.45
201,2009-02-18,Wilkinsburg Boro,71426.06
202,2009-02-18,Penn Hills Township,85463.12
203,2009-02-18,Pittsburgh,60270.91
204,2009-02-19,Homestead Boro,0.0
205,2009-02-19,Kennedy Township,86765.38
206,2009-02-20,Shaler Township,67987.93
207,2009-02-20,Harrison Township,26929.19
208,2009-02-20,Pittsburgh,310711.19
209,2009-02-20,Pittsburgh,8888.93
210,2009-02-20,Liberty Boro,38791.78
211,2009-02-20,Moon Township,72125.93
212,2009-02-20,Bethel Park Boro,138179.58
213,2009-02-20,Wilkinsburg Boro,51719.25
214,2009-02-20,City of McKeesport,52570.43
215,2009-02-23,Penn Hills Township,0.0
216,2009-02-24,Findlay Township,242920.1
217,2009-02-24,Findlay Township,300186.61
218,2009-02-24,Pittsburgh,57167.35
219,2009-02-24,Pittsburgh,40197.82
220,2009-02-24,Pittsburgh,20754.84
221,2009-02-25,West Mifflin Boro,81006.83
222,2009-02-25,Pittsburgh,38343.45
223,2009-02-26,Pittsburgh,99018.57
224,2009-02-26,West Mifflin Boro,212132.34
225,2009-02-26,Jefferson Hills Boro,212132.34
226,2009-02-26,Jefferson Hills Boro,212132.34
227,2009-02-26,West Mifflin Boro,212132.34
228,2009-02-26,West Mifflin Boro,212132.34
229,2009-02-26,City of Duquesne,212132.34
230,2009-02-26,Homestead Boro,212132.34
231,2009-02-27,Penn Hills Township,120952.42
232,2009-02-27,Shaler Township,84131.48
233,2009-02-27,Shaler Township,68324.67
234,2009-02-27,Millvale Boro,54213.77
235,2009-02-27,McKees Rocks Boro,16224.7
236,2009-03-02,Wilkinsburg Boro,238763.99
237,2009-03-02,Swissvale Boro,59202.51
238,2009-03-03,Pittsburgh,70118.25
239,2009-03-03,Pine Township,248718.22
240,2009-03-03,Wilkinsburg Boro,42084.87
241,2009-03-03,West Homestead Boro,59212.61
242,2009-03-03,West Homestead Boro,59212.61
243,2009-03-03,Pittsburgh,73816.53
244,2009-03-04,Pittsburgh,111824.56
245,2009-03-04,McCandless Township,234804.34
246,2009-03-04,Elizabeth Township,133800.49
247,2009-03-04,Swissvale Boro,56118.81
248,2009-03-04,Avalon Boro,101432.02
249,2009-03-05,Penn Hills Township,68898.17
250,2009-03-05,Baldwin Boro,108859.9
251,2009-03-05,Elizabeth Township,99489.23
252,2009-03-05,West Mifflin Boro,140004.26
253,2009-03-06,Elizabeth Township,83929.89
254,2009-03-06,Pittsburgh,53883.91
255,2009-03-06,Pittsburgh,51528.77
256,2009-03-06,McKees Rocks Boro,86263.36
257,2009-03-06,Kennedy Township,85089.66
258,2009-03-06,Moon Township,120402.75
259,2009-03-06,Collier Township,23869111.73
260,2009-03-06,S. Fayette Township,85665.65
261,2009-03-09,Braddock Boro,38681.04
262,2009-03-09,Pittsburgh,55483.51
263,2009-03-09,Wall Boro,39479.51
264,2009-03-10,N. Fayette Township,53037.85
265,2009-03-10,Pittsburgh,28610.12
266,2009-03-10,Pittsburgh,28610.12
267,2009-03-12,Castle Shannon Boro,78779.96
268,2009-03-11,N. Braddock Boro,36196.03
269,2009-03-11,City of Duquesne,26777.17
270,2009-03-11,Pittsburgh,34084.3
271,2009-03-11,Pittsburgh,34084.3
272,2009-03-12,Pittsburgh,105406.96
273,2009-03-12,Pittsburgh,99670.35
274,2009-03-13,McKees Rocks Boro,67789.84
275,2009-03-13,White Oak Boro,517978.61
276,2009-03-13,Pittsburgh,46221.76
277,2009-03-13,Collier Township,286777.94
278,2009-03-13,Carnegie Boro,60187.03
279,2009-03-13,Penn Hills Township,93135.63
280,2009-03-13,City of Clairton,41823.65
281,2009-03-16,Carnegie Boro,65127.48
282,2009-03-16,N. Braddock Boro,43518.8
283,2009-03-16,Penn Hills Township,63317.83
284,2009-03-17,McKees Rocks Boro,128169.9
285,2009-03-17,Moon Township,110023.13
286,2009-03-18,Oakmont Boro,64548.41
287,2009-03-18,Ben Avon Boro,109450.74
288,2009-03-18,S. Fayette Township,1163846.88
289,2009-03-18,S. Fayette Township,1163846.88
290,2009-03-18,Pittsburgh,49577.22
291,2009-03-18,Rankin Boro,64976.95
292,2009-03-18,Pittsburgh,90159.34
293,2009-03-18,Baldwin Boro,96279.77
294,2009-03-18,Penn Hills Township,105433.3
295,2009-03-19,Etna Boro,52689.78
296,2009-03-19,Coraopolis Boro,35667.39
297,2009-03-19,Pittsburgh,43192.93
298,2009-03-19,Plum Boro,174250.85
299,2009-03-20,Wilkinsburg Boro,84920.57
300,2009-03-20,Pittsburgh,31107.54
301,2009-03-20,City of McKeesport,40883.12
302,2009-03-20,City of McKeesport,49131.59
303,2009-03-20,City of McKeesport,35513.74
304,2009-03-20,Penn Hills Township,119092.88
305,2009-03-20,Swissvale Boro,51613.9
306,2009-03-20,N. Braddock Boro,20735.1
307,2009-03-21,Wilkinsburg Boro,38645.91
308,2009-03-21,Wilkinsburg Boro,29049.33
309,2009-03-21,Wilkinsburg Boro,29049.33
310,2009-03-21,Pittsburgh,36655.14
311,2009-03-21,Pittsburgh,36655.14
312,2009-03-21,Swissvale Boro,35484.26
313,2009-03-21,N. Braddock Boro,29893.94
314,2009-03-23,Pittsburgh,499810.74
315,2009-03-23,McCandless Township,170509.53
316,2009-03-23,Carnegie Boro,54096.64
317,2009-03-23,South Park Township,127148.03
