SALEDATE,PROPERTYCITY,SCHOOLDESC,RECORDDATE,PRICE
2016-09-22,PITTSBURGH,Pittsburgh,2016-10-17,156000.0
2012-01-03,PITTSBURGH,Pittsburgh,2012-01-03,1.0
2012-01-03,PITTSBURGH,Pittsburgh,2012-01-03,95000.0
2012-01-06,PITTSBURGH,Pittsburgh,2012-01-06,90000.0
2012-02-13,PITTSBURGH,Pittsburgh,2012-02-13,380000.0
2012-02-17,PITTSBURGH,Pittsburgh,2012-02-17,69000.0
2012-02-03,PITTSBURGH,Pittsburgh,2012-02-03,80000.0
2012-02-13,PITTSBURGH,Pittsburgh,2012-02-13,142000.0
2012-03-01,PITTSBURGH,Pittsburgh,2012-03-01,69900.0
2012-03-13,PITTSBURGH,Pittsburgh,2012-03-13,74000.0
2012-03-12,PITTSBURGH,Pittsburgh,2012-03-12,210000.0
2012-03-15,PITTSBURGH,Pittsburgh,2012-03-15,1.0
2012-04-12,PITTSBURGH,Pittsburgh,2012-04-12,120000.0
2012-04-12,PITTSBURGH,Pittsburgh,2012-04-12,790075.0
2012-04-20,PITTSBURGH,Pittsburgh,2012-04-20,110000.0
2012-05-14,PITTSBURGH,Pittsburgh,2012-05-14,119800.0
2012-04-16,PITTSBURGH,Pittsburgh,2012-04-16,65000.0
2012-04-16,PITTSBURGH,Pittsburgh,2012-04-16,125000.0
2012-05-02,PITTSBURGH,Pittsburgh,2012-05-02,1.0
2012-04-27,PITTSBURGH,Pittsburgh,2012-04-27,136000.0
2012-04-30,PITTSBURGH,Pittsburgh,2012-04-30,75000.0
2012-05-11,PITTSBURGH,Northgate,2012-05-11,68500.0
2012-05-07,PITTSBURGH,Pittsburgh,2012-05-07,249000.0
2012-05-22,PITTSBURGH,Pittsburgh,2012-05-22,133000.0
2012-05-29,PITTSBURGH,Pittsburgh,2012-05-29,79900.0
2012-05-03,PITTSBURGH,Northgate,2012-05-03,44000.0
2012-05-10,PITTSBURGH,Pittsburgh,2012-05-10,125000.0
2012-05-24,PITTSBURGH,Pittsburgh,2012-05-24,227000.0
2012-06-08,PITTSBURGH,Pittsburgh,2012-06-08,165000.0
2012-06-22,PITTSBURGH,Pittsburgh,2012-06-22,1.0
2012-06-13,PITTSBURGH,Pittsburgh,2012-06-13,100000.0
2012-06-14,PITTSBURGH,Pittsburgh,2012-06-14,271250.0
2012-07-05,PITTSBURGH,Pittsburgh,2012-07-05,320000.0
2012-07-03,PITTSBURGH,Pittsburgh,2012-07-03,1.0
2012-07-06,PITTSBURGH,Pittsburgh,2012-07-06,242000.0
2012-07-13,PITTSBURGH,Pittsburgh,2012-07-13,137000.0
2012-07-10,PITTSBURGH,Pittsburgh,2012-07-10,81500.0
2012-07-19,PITTSBURGH,Pittsburgh,2012-07-19,72075.0
2012-07-16,PITTSBURGH,Northgate,2012-07-16,1.0
2012-06-29,PITTSBURGH,Pittsburgh,2012-06-29,349500.0
2012-07-27,PITTSBURGH,Pittsburgh,2012-07-27,66500.0
2012-07-31,PITTSBURGH,Pittsburgh,2012-07-31,117000.0
2012-07-19,PITTSBURGH,Pittsburgh,2012-07-19,75000.0
2012-07-27,PITTSBURGH,Mt Lebanon,2012-07-27,1.0
2012-08-01,PITTSBURGH,Pittsburgh,2012-08-01,220000.0
2012-07-30,PITTSBURGH,Pittsburgh,2012-07-30,1994.0
2012-08-08,PITTSBURGH,Pittsburgh,2012-08-08,115000.0
2012-07-18,PITTSBURGH,Pittsburgh,2012-07-18,187500.0
2012-08-02,PITTSBURGH,Pittsburgh,2012-08-02,1.0
2012-08-02,PITTSBURGH,Pittsburgh,2012-08-02,1.0
2012-08-17,PITTSBURGH,Pittsburgh,2012-08-17,0.0
