APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Latitude,Longitude
6003016019,10/31/2018,Multi-Family,1217 W 60TH PL,LOS ANGELES,CA,90044.0,9,JCAP Financial Group,Donna Cornejo,714-278-4202,,,,,"1217 W 60TH PL
LOS ANGELES, CA 90044
(33.985025, -118.29654)",33.985025,-118.29654
2151015040,11/01/2018,Single Family,20519 W HATTERAS ST,LOS ANGELES,CA,91367.0,3,Digestive Disease Research Foundation,Neil Gitnick,818-921-2455,,,,,"20519 W HATTERAS ST
LOS ANGELES, CA 91367
(34.175498, -118.579552)",34.175498,-118.579552
5442030015,11/05/2018,Single Family,2801 N MARSH ST,LOS ANGELES,CA,90039.0,13,Allstar Financial Services Inc,sumana sur,818-346-7827,,,,,"2801 N MARSH ST
LOS ANGELES, CA 90039
(34.104301, -118.248531)",34.104301,-118.248531
5015020012,01/17/2018,Multi-Family,2071 W 52ND ST,LOS ANGELES,CA,90062.0,8,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306,"2071 W 52ND ST
LOS ANGELES, CA 90062
(33.995044, -118.316025)",33.995044,-118.316025
7416002028,01/05/2018,Single Family,649 N FRIGATE AVE,LOS ANGELES,CA,90744.0,15,BSI Financial Services,Ken Bodamer,800-327-7861,,,,,"649 N FRIGATE AVE
LOS ANGELES, CA 90744
(33.777863, -118.278247)",33.777863,-118.278247
2162005011,11/10/2018,Single Family,5257 N NEWCASTLE AVE,ENCINO,CA,91316.0,5,"Real Property Trustee, Inc.",Mike Kemel,877-770-2132,,,,,"5257 N NEWCASTLE AVE
ENCINO, CA 91316
(34.166353, -118.524347)",34.166353,-118.524347
6006027004,11/06/2018,Single Family,500 E 59TH PL,LOS ANGELES,CA,90003.0,9,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"500 E 59TH PL
LOS ANGELES, CA 90003
(33.986083, -118.266182)",33.986083,-118.266182
5460010052,11/21/2018,Single Family,2409 N YORKSHIRE DR,LOS ANGELES,CA,90065.0,1,"Cardenas Three, LLC",Coby Halavais,949-305-8901,,,,,"2409 N YORKSHIRE DR
LOS ANGELES, CA 90065
(34.110697, -118.230535)",34.110697,-118.230535
2524021020,01/04/2018,Single Family,13279 W VAUGHN ST,LOS ANGELES,CA,91340.0,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"13279 W VAUGHN ST
LOS ANGELES, CA 91340
(34.281704, -118.422398)",34.281704,-118.422398
2425016027,02/02/2018,Single Family,3548 N MULTIVIEW DR,LOS ANGELES,CA,90068.0,4,Samuel Hart,Edward Friedman,323-653-3900,,,,,"3548 N MULTIVIEW DR
LOS ANGELES, CA 90068
(34.130287, -118.360437)",34.130287,-118.360437
