interest_differential,next_month_currency_return,IMF Country Code
0.0014138,-0.061173605,GBR
-0.00057,-0.058119622,BEL
0.0014775,-0.056031139,DNK
0.0006547,-0.056991139,FRA
-0.0029276,-0.067056465,DEU
0.0028311,-0.057108159,ITA
-0.0022329,-0.063830941,NLD
0.0055866,-0.015111852,NOR
0.0019905,-0.041560847,SWE
-0.0044772,-0.072207991,CHE
0.0014879,0.020297856,CAN
-0.0021558,-0.054541893,JPN
0.0032608,-0.013774452,AUS
0.0084461,0.000789011,NZL
-0.0028398,-0.011840839,SGP
0.0021446,0.003848286,GBR
-0.0005659,-0.007637882,BEL
0.0016257,-0.002944157,DNK
0.0005594,-0.011331608,FRA
-0.0031447,-0.009893336,DEU
0.0031689,-0.005223012,ITA
-0.0024838,-0.008286675,NLD
0.0063083,0.008768218,NOR
0.002585,0.007681351,SWE
-0.0050414,-0.023419505,CHE
0.0015842,0.01300038,CAN
-0.0023019,-0.006819938,JPN
0.0040885,0.015596881,AUS
0.0090696,0.020017312,NZL
-0.0032833,-0.00456913,SGP
0.0012729,0.065932177,GBR
-0.0005744,0.014355464,BEL
0.0015725,0.017231885,DNK
0.0008541,0.018549137,FRA
-0.0029624,0.015816477,DEU
0.0034116,0.015825924,ITA
-0.0023164,0.016895339,NLD
0.0058665,0.024881811,NOR
0.0022966,0.02256666,SWE
-0.004255,0.013909246,CHE
0.0014582,0.024321047,CAN
-0.0025388,0.030387144,JPN
0.0036255,0.035505176,AUS
0.0072984,-0.007586675,NZL
-0.0027538,0.003450038,SGP
0.0008517,-0.00254735,GBR
-0.000569,-0.009954522,BEL
0.0021979,-0.013790922,DNK
0.0009657,-0.01233203,FRA
-0.0031102,-0.013675726,DEU
0.0018449,-0.009875514,ITA
-0.0025062,-0.012515324,NLD
0.0057717,0.017300347,NOR
0.0028058,0.002128562,SWE
-0.0042429,-0.023896643,CHE
0.0014627,0.004553938,CAN
-0.0028452,-0.008283303,JPN
0.003253,0.025990718,AUS
0.007437,0.035776721,NZL
-0.0029978,-0.004988814,SGP
-0.0001088,-0.020980874,GBR
-0.0005529,-0.028745166,BEL
-0.0014454,-0.016693297,DNK
-0.0022364,-0.020878071,FRA
-0.0058022,-0.034249346,DEU
0.0001561,-0.026297341,ITA
-0.0055393,-0.033040822,NLD
0.0039426,-0.00788485,NOR
0.0009189,-0.015628881,SWE
-0.0072298,-0.038858463,CHE
0.0025898,-0.002025945,CAN
-0.003244,-0.003638564,JPN
0.0048802,0.061833361,AUS
0.0090997,0.037465376,NZL
-0.0028258,-0.010643552,SGP
0.0015256,-0.072442508,GBR
-0.0015625,-0.059068465,BEL
0.0005042,-0.053602303,DNK
-0.0003248,-0.057309822,FRA
-0.0029012,-0.060672326,DEU
0.0018426,-0.054444884,ITA
-0.0032992,-0.066941146,NLD
0.0041031,-0.051137519,NOR
0.0021496,-0.045508843,SWE
-0.003902,-0.05392743,CHE
0.001478,0.016598144,CAN
-0.0031088,-0.067726265,JPN
0.0048631,-0.014782155,AUS
0.0067752,-0.028792368,NZL
-0.0027408,-0.01549362,SGP
-0.0001171,0.003112333,GBR
-0.001017,-0.02490473,BEL
-0.0031001,-0.023074223,DNK
-0.0018734,-0.023316666,FRA
-0.0051909,-0.02631438,DEU
-0.000543,-0.01701046,ITA
-0.0066329,-0.028332586,NLD
0.001503,-0.020467439,NOR
-7.80E-05,-0.019265306,SWE
-0.0043138,-0.030452974,CHE
0.0009904,0.006440954,CAN
-0.0058441,0.002142893,JPN
0.0040883,0.026588429,AUS
0.0061085,0.006060592,NZL
-0.0025025,-4.90E-05,SGP
0.003155,-0.015160406,GBR
-0.0012508,-0.017249986,BEL
-0.0002079,-0.018016723,DNK
-0.0005491,-0.012987229,FRA
-0.0028788,-0.007825421,DEU
0.0019336,-0.010215068,ITA
-0.0025498,-0.007922649,NLD
0.0036326,-0.019178311,NOR
0.0015419,-0.010878793,SWE
-0.0041094,-0.022208185,CHE
0.0012089,-0.022419366,CAN
-0.0028235,-0.03167335,JPN
0.0037671,0.003774204,AUS
0.005008,-0.075062767,NZL
-0.002105,-0.004645675,SGP
0.0028434,0.007929876,GBR
-0.0007541,0.003768885,BEL
-0.0007644,0.002292424,DNK
-0.0005025,0.000313949,FRA
-0.0028872,5.34E-05,DEU
0.0017912,0.002294729,ITA
-0.00242,0.002417016,NLD
0.0034202,0.004654901,NOR
0.001557,0.01137511,SWE
-0.0045601,-0.0025276,CHE
0.0015594,0.019712577,CAN
-0.0031785,0.016725735,JPN
0.0043846,-0.019146237,AUS
0.0047053,0.005451405,NZL
-0.0019646,0.001275713,SGP
0.0028289,0.050008858,GBR
-0.0010672,0.060533306,BEL
-0.0006577,0.050770705,DNK
-0.0003791,0.049328358,FRA
-0.0028725,0.050393651,DEU
0.00265,0.059135702,ITA
-0.0024956,0.049302125,NLD
0.0030959,0.049867641,NOR
0.00167,0.043002007,SWE
-0.0038174,0.053007968,CHE
0.0018024,-8.20E-05,CAN
-0.0033576,0.06544292,JPN
0.0042574,0.050213314,AUS
0.0044382,0.027628068,NZL
-0.0021561,0.018782819,SGP
0.0030917,0.046175674,GBR
-0.0041068,0.023497312,BEL
-0.0014964,0.022803719,DNK
-0.001283,0.023230726,FRA
-0.0038168,0.023318932,DEU
0.0018321,0.031993739,ITA
-0.0036859,0.022483427,NLD
0.0019264,0.023062111,NOR
0.00078,0.024786297,SWE
-0.0039298,0.02545929,CHE
0.000841,0.027934347,CAN
-0.0045633,0.024446227,JPN
0.0041936,0.071616226,AUS
0.0040528,0.050173617,NZL
-0.0033938,0.022689989,SGP
0.0032149,-0.018361535,GBR
-0.00188,-0.022001654,BEL
-0.0010939,-0.026603522,DNK
-0.0005777,-0.02311877,FRA
-0.0033851,-0.027935773,DEU
0.0021433,-0.016206931,ITA
-0.0029985,-0.027045928,NLD
0.0024646,-0.010662647,NOR
0.0006855,-0.015804084,SWE
-0.0040682,-0.036539126,CHE
0.0010062,-0.002097298,CAN
-0.0037254,-0.02962812,JPN
0.0052006,-0.019574286,AUS
0.0033962,-0.034272041,NZL
-0.0031952,-0.001080516,SGP
0.0029152,-0.027315107,GBR
-0.0012695,-0.05607711,BEL
-0.0010078,-0.054501521,DNK
-0.0002978,-0.050705308,FRA
-0.0026163,-0.056417615,DEU
0.0016458,-0.042606125,ITA
-0.0021279,-0.056211609,NLD
0.0014106,-0.022109912,NOR
0.0011372,-0.031339413,SWE
-0.0026299,-0.064223581,CHE
