date,trend-worldwide
2015-10-23,32
2015-10-30,33
2015-11-06,32
2015-11-13,32
2015-11-20,31
2015-11-27,35
2015-12-04,33
2015-12-11,33
2015-12-18,33
2015-12-25,38
2016-01-01,35
2016-01-08,30
2016-01-15,28
2016-01-22,27
2016-01-29,28
2016-02-05,27
2016-02-12,26
2016-02-19,28
2016-02-26,27
2016-03-04,26
2016-03-11,26
2016-03-18,25
2016-03-25,40
2016-04-01,30
2016-04-08,28
2016-04-15,27
2016-04-22,26
2016-04-29,28
2016-05-06,26
2016-05-13,25
2016-05-20,26
2016-05-27,26
2016-06-03,26
2016-06-10,24
2016-06-17,28
2016-06-24,25
2016-07-01,25
2016-07-08,27
2016-07-15,28
2016-07-22,26
2016-07-29,27
2016-08-05,27
2016-08-12,26
2016-08-19,25
2016-08-26,26
2016-09-02,30
2016-09-09,61
2016-09-16,43
2016-09-23,39
2016-09-30,37
2016-10-07,33
2016-10-14,33
2016-10-21,31
2016-10-28,38
2016-11-04,32
2016-11-11,31
2016-11-18,32
2016-11-25,39
2016-12-02,33
2016-12-09,32
2016-12-16,35
2016-12-23,36
2016-12-30,40
2017-01-06,33
2017-01-13,30
2017-01-20,29
2017-01-27,28
2017-02-03,28
2017-02-10,28
2017-02-17,27
2017-02-24,26
2017-03-03,27
2017-03-10,26
2017-03-17,26
2017-03-24,29
2017-03-31,29
2017-04-07,28
2017-04-14,27
2017-04-21,27
2017-04-28,26
2017-05-05,27
2017-05-12,26
2017-05-19,27
2017-05-26,26
2017-06-02,25
2017-06-09,33
2017-06-16,29
2017-06-23,28
2017-06-30,28
2017-07-07,27
2017-07-14,28
2017-07-21,28
2017-07-28,29
2017-08-04,29
2017-08-11,29
2017-08-18,29
2017-08-25,29
2017-09-01,29
2017-09-08,29
2017-09-15,62
2017-09-22,40
2017-09-29,37
2017-10-06,35
2017-10-13,33
2017-10-20,32
2017-10-27,35
2017-11-03,36
2017-11-10,38
2017-11-17,35
2017-11-24,42
2017-12-01,37
2017-12-08,37
2017-12-15,35
2017-12-22,38
2017-12-29,46
2018-01-05,38
2018-01-12,33
2018-01-19,32
2018-01-26,31
2018-02-02,31
2018-02-09,31
2018-02-16,30
2018-02-23,29
2018-03-02,30
2018-03-09,28
2018-03-16,29
2018-03-23,28
2018-03-30,31
2018-04-06,29
2018-04-13,29
2018-04-20,28
2018-04-27,27
2018-05-04,29
2018-05-11,28
2018-05-18,28
2018-05-25,27
2018-06-01,28
2018-06-08,31
2018-06-15,28
2018-06-22,28
2018-06-29,27
2018-07-06,26
2018-07-13,28
2018-07-20,29
2018-07-27,29
2018-08-03,32
2018-08-10,30
2018-08-17,30
2018-08-24,29
2018-08-31,30
2018-09-07,29
2018-09-14,57
2018-09-21,40
2018-09-28,38
2018-10-05,34
2018-10-12,33
2018-10-19,33
2018-10-26,32
2018-11-02,36
2018-11-09,34
2018-11-16,35
2018-11-23,44
2018-11-30,37
2018-12-07,35
2018-12-14,37
2018-12-21,37
2018-12-28,44
2019-01-04,38
2019-01-11,34
2019-01-18,31
2019-01-25,30
2019-02-01,30
2019-02-08,29
2019-02-15,28
2019-02-22,28
2019-03-01,27
2019-03-08,27
2019-03-15,27
2019-03-22,30
2019-03-29,34
2019-04-05,29
2019-04-12,27
2019-04-19,27
2019-04-26,27
2019-05-03,28
2019-05-10,27
2019-05-17,27
2019-05-24,28
2019-05-31,27
2019-06-07,35
2019-06-14,30
2019-06-21,29
2019-06-28,28
2019-07-05,28
2019-07-12,28
2019-07-19,30
2019-07-26,28
2019-08-02,29
2019-08-09,29
2019-08-16,30
2019-08-23,30
2019-08-30,48
2019-09-06,100
2019-09-13,95
2019-09-20,77
2019-09-27,61
2019-10-04,36
2019-10-11,36
2019-10-18,34
2019-10-25,33
2019-11-01,38
2019-11-08,37
2019-11-15,37
2019-11-22,36
2019-11-29,46
2019-12-06,40
2019-12-13,37
2019-12-20,38
2019-12-27,46
2020-01-03,38
2020-01-10,34
2020-01-17,32
2020-01-24,32
2020-01-31,31
2020-02-07,30
2020-02-14,30
2020-02-21,30
2020-02-28,30
2020-03-06,30
2020-03-13,30
2020-03-20,30
2020-03-27,30
2020-04-03,30
2020-04-10,29
2020-04-17,36
2020-04-24,34
2020-05-01,34
2020-05-08,35
2020-05-15,33
2020-05-22,34
2020-05-29,33
2020-06-05,33
2020-06-12,33
2020-06-19,34
2020-06-26,37
2020-07-03,34
2020-07-10,34
2020-07-17,35
2020-07-24,35
2020-07-31,35
2020-08-07,36
2020-08-14,36
2020-08-21,36
2020-08-28,37
2020-09-04,39
2020-09-11,37
2020-09-18,52
2020-09-25,42
2020-10-02,38
2020-10-09,36
