id,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,fraud
0,-2.346302468,-1.026582576,-10.36371644,-8.054260378,7.519906527,1.860217462,9.05686554,0.392113027,-12.9375051,-0.801263881,0
1,-3.296775914,-8.487699811,9.175655097,1.097408761,-1.766353487,-2.293391776,-2.247549149,-0.041269165,8.21695335,8.883102197,0
2,12.83960991,4.475612406,-5.213528065,-5.722659782,-4.073389517,-5.661765712,5.967037294,-9.826743135,-17.44324826,5.266469559,0
3,13.23732522,13.60518312,-5.95803875,4.392244413,4.763586544,3.781627862,-2.722725296,-5.814774537,11.2365152,2.582494437,0
4,4.161310816,2.520646006,7.171649725,1.301273246,-5.408190228,4.651314365,9.639546345,4.648132073,3.928618613,2.358163927,0
5,-0.14294244,16.6874068,-3.87374004,7.563581044,-8.924226175,-8.765966676,-4.628778223,-5.459560259,8.279739988,-13.094957,0
6,-0.368160515,-2.116165186,-2.807279621,6.859750931,3.802230791,-2.090365238,-8.277958178,-12.04563601,-2.17993332,5.526897645,0
7,-0.516885951,4.434026664,-0.237612578,0.468082965,25.52154418,4.40574454,-1.771652104,2.106939882,1.506282026,-14.13477395,0
8,18.704744,-4.678407023,-1.563087175,-11.10951039,0.904956283,4.556315363,-1.505882964,-7.835574375,1.436494766,3.0986552,0
9,2.447755921,-0.047451497,2.704057634,-12.8658861,1.186540812,-1.296257125,1.013581394,0.566047044,2.260941746,-15.32035026,0
10,22.09270663,1.950646583,-7.976228506,16.2497579,-7.157129549,-0.377317433,3.858252681,8.264307777,-7.96118956,-7.703679216,0
11,7.090340013,5.169851564,7.027994028,-17.53477226,-6.191252219,-6.612203698,6.56125507,8.716084162,-2.130214652,-0.774719618,0
12,-8.773981309,-11.11754701,-8.136896478,0.293314236,-19.34806956,-3.625477927,-0.201733225,5.87155715,-12.6864759,-0.812151303,0
13,-17.40693223,-0.935968802,-10.73510915,4.511147538,-2.904700831,-4.944331022,-6.210440507,0.618039038,2.379599697,8.22898888,0
14,8.253806182,-2.941003955,-8.521267233,7.180914898,-8.757127635,-4.292851197,7.16311973,-12.40060392,-5.048370676,3.081448933,0
15,4.616850948,11.29346513,4.734245737,-7.187985727,3.76517425,7.875418298,6.17424104,5.335173662,-5.441740572,-10.64254111,0
16,-3.536354177,-2.780893435,-4.036694122,8.789570973,7.77400292,2.24207257,-0.336040193,17.57450983,28.87224483,-2.908781185,0
17,-5.996812933,-6.88627771,-16.90659919,-1.735510266,-7.490004085,1.076893154,4.843000418,10.0030926,-16.2354595,-17.05694606,0
18,6.8871487,3.609951989,2.697539819,4.420372426,-0.43288907,-2.682720879,-0.694529029,-14.75078407,5.022878464,-13.06521139,0
19,-10.64184751,9.181307781,4.859921895,10.50146402,-0.62321606,1.881087516,-9.629977469,3.657234017,8.292165154,14.2597018,0
20,-7.412027376,-10.01111386,6.689579001,-0.035366892,12.78339289,0.741781766,-11.30091774,1.731141717,8.042984197,5.059077302,0
21,-2.427836607,24.26377248,3.787479521,-3.392093152,-2.485073015,-1.33369694,5.599667987,-1.216537474,4.168135597,-10.39616809,0
22,-13.01722385,-0.152415833,2.233657952,-15.55430557,-3.868672991,1.537433469,-0.909554896,6.012156535,2.458245874,1.550457856,0
23,-0.345916308,-1.70406344,1.115052363,-5.735078926,9.361531404,-3.032898246,7.625001084,-2.239471258,2.081063504,5.342023892,0
24,-3.415029425,-5.236591719,-0.874372706,-7.462246906,-10.49471909,0.62424082,0.754462943,-10.74718588,-0.067463659,-2.852915562,0
25,4.849382615,2.781449725,0.970263171,-10.2834403,4.734614153,-6.53038643,-11.3460269,-14.80129535,-5.094511991,0.365171867,0
26,5.040153027,-3.014174073,8.05873554,7.910636427,-7.78816667,-3.099408815,2.93506151,5.43502301,-7.783993285,-8.938077819,0
27,-2.952601703,15.05764885,-9.129331962,7.066524209,18.96106276,4.616937812,-8.844180704,5.759354119,-9.801874382,0.303200344,0
28,-3.865755029,-2.345500335,14.0098459,-13.56712027,-10.21383386,-3.231248815,5.326152563,-18.09541935,3.998638204,9.28434678,0
29,7.069326515,17.40188238,6.439104428,-8.458508157,6.973986058,-4.279705607,2.729564564,8.668030612,-1.116775581,8.26726986,0
30,0.477759517,6.471620221,-10.01089917,-8.589364682,9.943101758,-2.446689359,-0.940546358,-2.911354857,-18.34516894,6.987826023,0
31,-15.21457651,-6.904511079,-8.740617084,-5.168695266,-8.229065085,-6.002409681,4.401256795,7.17319628,-27.62733996,14.58612256,0
