Year,Month,Amount,Term,Zip,CreateJob,NoEmp,RealEstate,RevLineCr,UrbanRural,Default
2001,11,32812,36,92801,0,1,0,1,0,0
2001,4,30000,56,90505,0,1,0,1,0,0
2001,4,30000,36,92103,0,10,0,1,0,0
2003,10,50000,36,92108,0,6,0,1,0,0
2006,7,343000,240,91345,3,65,1,0,2,0
2003,7,55825,84,95831,0,1,0,1,0,0
2006,7,67047,84,90808,2,1,0,1,1,0
2004,4,17500,84,94583,0,4,0,1,2,0
2004,7,17536,84,94103,0,1,0,1,2,0
2004,1,33276,84,95746,0,12,0,1,2,0
2004,11,30502,60,95965,0,8,0,1,2,0
2006,12,25000,60,91505,7,13,0,1,2,0
2004,2,20000,84,94550,0,1,0,1,2,0
1997,12,1000000,300,92101,0,15,1,0,0,0
2004,6,10000,84,91356,0,22,0,1,2,0
2006,6,79000,240,92507,8,13,1,0,2,0
2006,2,249000,240,92507,8,13,1,0,2,0
2006,10,59450,84,91604,0,3,0,1,1,0
2004,4,25530,84,94080,0,3,0,1,2,0
2005,4,64000,32,95030,0,5,0,1,2,0
2005,12,39000,84,94901,0,4,0,0,2,0
2005,3,25000,84,94707,0,3,0,0,2,0
2005,4,32697,84,95037,0,2,0,1,2,0
2005,12,25000,84,91208,0,4,0,1,2,0
2005,10,10000,84,95630,0,1,0,1,2,0
2005,12,10000,84,93610,0,2,0,0,1,0
2005,12,35000,84,92656,0,1,0,0,2,0
1997,12,150500,300,92545,0,30,1,0,0,0
2005,9,100000,84,92708,0,8,0,0,2,0
2005,8,50000,84,92307,0,3,0,1,2,0
2005,2,11000,84,93546,0,2,0,1,1,0
2005,7,50000,84,92590,0,7,0,0,2,0
2005,9,229540,84,91941,0,6,0,1,2,0
2005,7,113000,84,92648,0,4,0,1,2,0
2005,8,50000,84,92083,2,18,0,0,2,0
2005,3,10000,84,91505,0,2,0,1,2,0
2005,7,100000,84,92260,4,58,0,0,2,0
2006,8,229000,240,95945,6,13,1,0,1,0
2005,7,50000,84,92887,0,4,0,1,2,0
2005,3,50000,84,95628,1,4,0,0,2,0
2005,6,50000,84,93604,1,30,0,0,1,0
2005,4,64000,84,94070,0,6,0,1,2,0
2005,1,60000,60,92879,0,2,0,0,2,0
2005,3,58602,84,94526,0,4,0,1,2,0
1997,7,100000,119,92115,0,3,0,0,0,0
2005,8,19700,84,90210,1,2,0,1,2,0
2005,11,67597,84,93010,0,5,0,1,2,0
2006,6,568000,240,92807,20,345,1,0,2,0
1997,6,357000,240,92056,13,7,1,0,0,0
2005,5,14900,84,91311,0,1,0,1,2,0
2005,5,10000,84,94588,0,1,0,1,2,0
2005,4,10000,36,91607,0,30,0,0,2,0
2005,6,10000,84,91914,0,2,0,1,2,0
2005,11,35000,84,92173,2,4,0,0,2,0
2005,2,139892,84,90274,1,4,0,1,2,0
1997,1,504000,300,90006,0,5,1,0,0,0
2005,9,111500,84,91030,3,12,0,1,2,0
2005,11,50000,84,91780,3,5,0,0,2,0
1997,8,48449,84,94706,0,1,0,0,2,0
2006,2,557000,240,94115,5,6,1,0,2,0
2005,9,12970,33,93906,0,1,0,0,2,0
2005,8,28500,84,91606,0,4,0,1,1,0
2005,5,79500,84,91201,0,4,0,1,2,0
2006,11,914000,240,92084,6,34,1,0,2,0
2005,4,30000,84,92627,0,6,0,1,2,0
2005,3,50000,84,90211,0,3,0,0,2,0
1997,4,302000,300,93611,0,6,1,0,0,0
2005,3,50000,84,90266,0,80,0,0,2,0
2005,7,92446,84,91601,0,1,0,1,2,0
2005,11,55000,84,94523,0,6,0,1,2,0
2005,7,93000,84,92101,1,5,0,1,2,0
2005,1,20000,36,92553,0,5,0,0,2,0
2005,2,69500,84,91776,3,3,0,1,2,0
2005,12,21500,84,92549,0,5,0,1,2,0
2006,4,150000,73,90201,69,31,0,1,2,0
2005,6,1240000,300,90631,0,21,1,0,2,0
2005,10,140000,84,92110,50,21,0,0,2,0
2005,4,22964,84,92110,50,21,0,1,2,0
1997,9,257000,300,92234,0,9,1,0,0,0
2005,9,65000,84,90004,1,1,0,1,2,0
2006,9,105000,240,92501,3,20,1,0,2,0
2005,9,61483,84,92404,0,1,0,1,2,0
1997,8,140000,120,93433,0,7,0,0,0,0
2005,5,70112,84,94104,0,3,0,1,2,0
2006,9,825000,120,93905,0,6,0,0,2,0
1997,8,720000,300,90004,0,7,1,0,0,0
2005,9,10800,60,93654,2,2,0,0,2,0
1997,6,369000,300,92630,0,130,1,0,0,0
2006,4,50000,84,92009,0,1,0,1,2,0
2006,5,329825,84,90266,0,1,0,1,2,0
2006,12,50000,84,91762,3,1,0,0,2,0
2006,10,98863,84,91789,0,5,0,1,1,0
2006,1,83768,84,91362,2,5,0,1,1,0
1997,5,100000,120,90004,0,7,0,0,0,0
2006,8,60399,84,94541,0,2,0,1,2,0
1997,5,50000,120,90706,0,1,0,0,0,0
2006,3,12973,84,94089,1,1,0,1,2,0
2006,7,40000,60,92653,1,7,0,1,2,0
2006,12,45736,84,90025,1,5,0,1,2,0
2006,12,252539,84,94111,0,2,0,1,2,0
2006,1,669000,240,92701,3,13,1,0,2,0
2006,7,49310,84,95128,0,3,0,1,2,0
2006,2,952000,300,91205,4,4,1,0,2,0
1997,10,500000,300,91360,0,10,1,0,0,0
2006,1,89500,84,90046,0,3,0,1,2,0
