EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
2.01,1.67,11.0,0.051444119210894,0.0185847718811111
0.17,0.19,6.0,0.1129550354538175,-0.0005099246936094
-0.07,0.14,4.0,0.0771673964756147,-0.0461043536840399
0.48,0.51,8.0,-0.006129969198276,-0.0048985268269263
-0.24,-0.27,9.0,0.0897615708274894,-0.0254660655537953
2.83,2.77,9.0,0.0383221850613155,0.0253296534805274
-0.08,-0.05,5.0,0.3025641025641026,0.0168539325842695
0.24,0.35,5.0,-0.0184660411504623,0.0064858732949568
0.01,0.05,3.0,0.0961637632234104,-0.1398933175724418
-0.58,-0.53,4.0,-0.0184821305442515,-0.0423280503598866
0.81,0.81,3.0,0.0619409722235,-0.0311854665812904
0.31,0.64,3.0,0.030333670374115,-0.0228977497039083
-0.08,-0.08,3.0,0.3066914498141264,-0.0582608695652173
-0.02,0.09,1.0,0.1599996839234174,0.0202705063276988
-0.18,-0.17,3.0,-0.1939799331103678,-0.173763144285468
0.91,0.98,2.0,0.1829338446788111,-0.0356195528609322
0.31,0.22,2.0,0.2586666666666666,-0.0468750000000001
-0.34,0.04,1.0,0.0989510667553885,-0.144005326141325
-0.95,-1.2,1.0,0.0,-0.2186978297161937
-0.68,-0.51,3.0,-0.1797562626946512,0.1920415224913494
0.83,0.6,1.0,0.0128205002553809,-0.0179072900042727
0.14,0.15,3.0,0.0494836488812393,-0.0396253602305476
-0.66,-0.45,3.0,0.2949591280653951,0.0454545454545454
0.19,0.19,3.0,0.0596676938011766,-0.0144195910062314
0.71,0.63,2.0,0.0059750215029341,-0.0560379542662274
0.03,0.01,3.0,0.0090090090090089,-0.0148514851485148
0.27,0.17,2.0,-0.2202446483771344,0.0193236784655501
-0.02,-0.01,1.0,0.0979884485162319,-0.0401135288552506
-0.15,-0.12,1.0,0.0843373493975903,0.528169014084507
0.21,0.21,5.0,-0.0401174078579423,-0.0279923421312546
0.48,0.47,3.0,-0.0848623857635083,-0.0301615547932277
0.56,-0.07,3.0,0.0129198966408268,-0.0838709677419355
-0.7,-0.68,4.0,-0.0927643784786641,0.0
-0.61,-0.69,1.0,0.2357779300891023,0.0603176800359899
-0.48,-0.4,1.0,0.0831584424890488,-0.0628019326971104
-0.88,-0.74,2.0,0.0897677338355305,-0.0401810979060555
0.06,0.05,2.0,0.1397769516728624,0.0843920145190562
0.49,0.1,3.0,0.0361377356838217,-0.0207050308747583
1.47,0.12,4.0,0.0334377842503685,0.0204300564705219
1.32,0.25,1.0,0.028118307143029,-0.0623700398404925
-0.13,-0.01,1.0,0.0099009900990099,-0.0186915887850467
-0.06,-0.07,2.0,0.0096711798839457,-0.0738738738738739
-0.22,-0.2,2.0,-0.0069148936170212,0.0335781741867786
0.04,0.07,2.0,-0.1146974063400577,0.0090090090090089
-0.47,-0.34,1.0,0.1994851994851996,0.032258064516129
0.44,0.25,3.0,0.0503633174642947,-0.0603101665709362
0.11,0.12,5.0,0.0725995316159249,-0.0415944540727901
-0.37,-0.39,2.0,0.0,0.0719999999999998
0.45,0.46,1.0,-0.0208333333333333,0.0213903743315508
0.16,0.14,4.0,0.0384615384615385,-0.0261437908496732
-0.42,-0.37,3.0,-0.0303030303030302,0.1911357340720221
-0.01,0.02,2.0,0.0185873605947957,-0.005181347150259
-0.21,-0.06,2.0,0.2471910010545284,0.0016127789193747
0.6,0.4,1.0,-0.0260848944747451,-0.1124586549062843
-0.05,-0.05,1.0,0.2708333333333335,-0.0272108843537415
-1.34,-1.12,5.0,0.038328729281768,0.2257809410834321
1.69,1.22,1.0,-0.0052380792326668,-0.0077519590012758
-0.15,-0.14,2.0,0.115819209039548,-0.09375
-0.3,-0.27,2.0,0.1193078324225864,0.0703336339044182
-0.35,-0.49,3.0,-0.0890087660148347,0.0420757363253856
-0.05,-0.05,3.0,0.0589254766031195,-0.0527437400106552
0.08,0.08,2.0,0.0372928176795579,0.023224043715847
-0.52,-0.55,3.0,0.0051546391752577,0.0939226519337015
-0.54,-0.49,5.0,0.4891304347826086,0.1029641185647425
-0.17,-0.69,2.0,-0.0276497695852534,-0.0849673202614378
-0.17,-0.13,3.0,0.1111111111111111,-0.0534629404617253
-0.64,-0.37,1.0,0.0224999999999999,0.0
0.21,0.23,2.0,-0.0501981536625364,-0.1978723149096279
-0.3,-0.21,2.0,-0.5398773006134969,-0.1505791505791505
0.12,0.12,1.0,0.0193459805382998,0.014717300118985
0.07,0.19,1.0,-0.010733450384195,-0.0072072883563537
0.23,0.18,1.0,-0.008415147265077,-0.0418300653594772
-0.36,-0.4,2.0,0.0161662817551964,0.1074168797953964
-0.14,-0.2,3.0,0.3107692307692307,0.0865051903114186
-0.16,-0.2,2.0,-0.0496323578671817,-0.1122112636536072
-0.35,-0.3,3.0,0.1106870229007632,-0.1236559139784947
-0.06,-0.05,4.0,0.0276595744680849,-0.1469594594594595
-0.18,-0.2,3.0,-0.0061162079510703,0.1073619631901841
-0.46,-0.51,6.0,0.0291120815138281,0.0633116883116882
-0.22,-0.23,1.0,-0.0307692307692308,-0.0393700787401575
-0.51,-0.48,3.0,0.154782608695652,-0.0252707581227435
-0.21,-0.17,2.0,-0.0616666666666666,0.0014684287812041
-0.28,-0.29,1.0,0.1362467866323906,0.0208333333333334
-0.91,-0.74,2.0,0.1666666666666665,-0.0035799522673032
-0.85,-0.45,5.0,0.0571043165467628,-0.0175953079178886
-0.07,-0.2,2.0,0.1078838174273859,-0.0330882352941175
0.0,0.04,3.0,0.0116279069767442,0.0049703092778721
-0.05,-0.01,2.0,-0.1073825503355704,-0.0448717948717949
0.96,0.9,8.0,-0.0092481441844956,0.1396838057284906
1.24,1.26,8.0,0.019230767479806,0.037070776544321
1.2,1.11,10.0,-0.0479954888121394,0.0750873404598151
-0.21,-0.24,3.0,-0.0839328537170264,0.2225519287833828
0.13,-0.21,1.0,-0.0161580136702245,0.0169491783610025
0.22,0.22,2.0,-0.0091008200304327,0.0396475538660883
0.02,0.0,2.0,0.08,-0.0943396226415094
-0.47,-0.66,3.0,0.0833333333333332,0.4244861483467381
0.09,0.09,4.0,0.03125,0.0772128060263654
-0.82,-1.1,2.0,-0.0157480314960629,-0.0575539568345323
2.79,2.5,2.0,0.0100351461339251,0.0018429603763518
2.41,1.92,9.0,0.0077565496813021,-0.0269677622328919
1.98,1.97,13.0,0.0147727325887077,-0.0496968277038101
2.79,1.61,12.0,0.0294100479861481,0.0453326512368335
0.71,0.41,11.0,0.0558804543582767,0.1481690144173939
1.52,1.4,4.0,0.0332316039335367,0.0905380333951764
0.79,0.69,6.0,-0.0046560660634279,-0.0424427229273117
0.23,0.22,1.0,-0.0323441309627123,0.0910290282661543
-0.45,-0.4,1.0,0.0569620253164555,0.0392441860465115
0.06,0.07,4.0,0.0625786955426843,0.0189349112426036
0.28,0.24,4.0,0.0282194802435411,0.2198924713565362
-0.14,-0.33,2.0,0.0022197312033773,0.1001213547190635
0.19,0.18,4.0,0.091715976331361,0.1077375122428991
