id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
92037-16835229,9,1393,54296,USA,7/13/21,0,0,Listed for sale,1626130000000.0,1150000,648,La Jolla,CA,1975,8874 Caminito Primavera,92037.0,-117.2397842,32.8687706,0,"""BRIGHT SUNNY 4BR TOWNHOME IN QUIET PRIVATE LOCATION!  BOASTS LAMINATE FLOORING VOLUME CEILINGS CLOSET ORGANIZER ATTACHED 2 CAR GARAGE OVERSIZED DECK AND YOU CAN WHILE AWAY THE HOURS IN YOUR LUSH BACK YARD!  EASY ACCESS TO HIGHWAYS SHOPPING RESTAURANTS AND YOU CAN EVEN WALK TO SCHOOL.  LA JOLLA SHORES HEIGHTS IS ONE OF THE MOST LOW DENSITY COMMUNITIES IN THE AREA.  SELLER SELECTS SERVICES.  HURRY WONT LAST! Complex Features:  Equipment:  DryerGarage Door Opener Washer Sewer:  Sewer Connected Topography: LL""",USD,1776,1776.0,sqft,3,4,0,1,2,1,Two,0,1,0,0,CONDO,San Diego County
92037-16856343,9,1395,54296,USA,7/12/21,0,0,Sold,1365640000000.0,1750000,688,La Jolla,CA,1990,5510 Moonlight Ln,92037.0,-117.2579422,32.81456757,0,"""VRM $2.999M - $3.149M. Rarely offered sit down whitewater view ranch home in La Jolla! This 4 bedroom modern beach house situated in La Jolla Mesa offers protected ocean and bay views from the surfers at Crystal Pier to the sail boats along the eastern side of Mission Bay. Come enjoy this gorgeous La Jolla home with a floor-plan that works for so many different uses. Rooftop deck pool with spa elevated outdoor dining and a custom remodel that is sure to wow. The kitchen and living area feature an open floor plan with 16ft. Fleetwood doors providing seamless access to the backyard and making it ideal for entertaining and family gatherings at any time of year. The backyard offers a saltwater pool spa fire pit a raised deck to take in elevated ocean views and the high quality rooftop Life Deck provides a 360 birds eye view of San Diegos  iconic coastal bay and Downtown skyline views!  Additional features include Milgard windows throughout gleaming hardwood floors a cozy fireplace in the family room gourmet kitchen soak-in tub and so much more!  Dont miss out on this great opportunity! Equipment: Garage Door OpenerPool/Spa/Equipment Range/Oven Sewer:  Sewer Connected Topography: GSL""",USD,2544,2544.0,sqft,3,4,0,1,2,1,One,1,1,0,0,SINGLE_FAMILY,San Diego County
92037-16849349,9,1396,54296,USA,7/10/21,0,0,Price change,1625880000000.0,4195000,1597,La Jolla,CA,1991,450 Arenas St,92037.0,-117.2783203,32.83514404,0,Stunning updated one owner Beach Mediterranean in highly sought after Beach Barber Tract on large corner private walled lot.  Three blocks from beach short bluff stroll from Village restaurants shops entertainment and La Jolla Cove. Architect-designed two story sunny bright airy light-filled newer open floor plan. Over a dozen dual pane French doors and thirty windows provide unobstructed views to three patios raised porches and fountains to bring the outside in.  Raised ceilings throughout hardwood and tile floors custom glass fronted cabinets paneled doors custom entryway book and art niches.  A lovely peaceful house with historic character in a prime location.  First floor has two bedroom areas opening onto patios family room with built-ins and fireplace kitchen with breakfast nook and island dining room sunroom and laundry room. Master bedroom suite occupies entire second story with large bedroom window seat luxurious bath and walk-in closet. Drought tolerant accent lighted landscape mature trees and shrubs flagstone and tile walkways. Two car attached garage with epoxy floor and rare small basement for extra storage. Sewer:  Sewer Connected Topography: LL,USD,2627,2627.0,sqft,2,3,0,1,2,1,Two,0,1,0,0,SINGLE_FAMILY,San Diego County
92037-16858459,9,1397,54296,USA,7/9/21,0,0,Listed for sale,1625790000000.0,2450000,908,La Jolla,CA,1991,1407 Caminito Faro,92037.0,-117.2492142,32.81598282,0,Stunning Panoramic Ocean & Bay views from many rooms set the perfect backdrop for this Single Level gem at gated Crystal Bay! Expansive gourmet kitchen w/breakfast area features: granite counters newer refrigerator & top of the line Dacor appliances. Family room & MA BR open to lovely backyard w/ frameless glass fence to enhance your remarkable views! Luxurious MA BA ($80K 2015) boasts heated floors granite counters frameless glass shower enclosure & exquisite details throughout. 1 BR used as office. 3 fireplaces A/C (2015) 3 car garage w/lots of built-ins. Fabulous club amenities!  * Fabulous club amenities include: 2 pools tennis courts library & fitness center. * $80K renovated Master BA feature granite counters heated floors frameless     glass shower enclosure elegant gold hardware and exquisite details throughout.  * Kitchen features: Dacor gas range food warmer microwave & oven newer     refrigerator instant hot water & plentiful cabinetry.  * New Carpet * A/C 2015 * Water Heater (2019) * $35K Landscaping (2015) * Solar tube skylights in living room & powder room.  * 3 fireplaces in living room family room & Master BR * Living and Dining room opens to private atrium. * Plantation shutters  * 3 Car garage with Tons of built-ins .  * 1 BR used as office. Complex Features:  Equipment:  Dryer Washer Sewer:  Sewer Connected Topography: LL,USD,2699,2699.0,sqft,3,4,0,1,3,1,One,0,1,0,0,SINGLE_FAMILY,San Diego County
92037-51080054,9,1399,54296,USA,7/9/21,0,0,Listed for sale,1625790000000.0,3298000,723,La Jolla,CA,2004,5410 La Jolla Mesa Dr,92037.0,-117.2602844,32.81329346,0,Set on a knoll above Birdrock with 75 feet of frontage overlooking the Pacific Ocean Birdrock Pt. Loma and downtown SD - beyond compare! Classic and pristine Nantucket style custom home with white oak floors impressive staircase volume ceilings & open floor plan to embrace major ocean views & surrounds. Elegant public rooms include gracious entry foyer formal living room with fireplace & floor-to-ceiling windows and intimate dining room with cozy built-in library. Top-of-line all stainless steel appliances: Bertazzoni range/oven steam oven & warming drawer and SubZero fridge plus beverage fridge & ice-maker. Easy stroll to Birdrock retail & beach! EV charging station. Equipment:  Dryer Range/Oven Washer Sewer:  Sewer Connected Topography: GSL,USD,4564,4564.0,sqft,5,5,0,1,2,1,Three Or More,0,1,0,0,SINGLE_FAMILY,San Diego County
92037-16855626,9,1400,54296,USA,7/9/21,0,0,Listed for sale,1625790000000.0,3495000,1610,La Jolla,CA,1939,5606 Dolphin Pl,92037.0,-117.2711029,32.81404114,0,Fully remodeled in 2018 through local architect Melvin McGee this beautiful home was designed with the utmost of attention to detail.  From the moment you enter it will feel like you have arrived home with its Farmhouse touches modern accents and stunning ocean views.  Gorgeous wood floors throughout large living area with decorative beams large kitchen with beautiful kitchen island and stainless appliances recessed lighting throughout 2nd story master suite guest room downstairs private guest quarters or office with separate entrance over garage two patios to enjoy the sunsets central heat and air conditioning but also has mini-split systems in bedrooms fireplace in living room and so much more! Located west of LJ Blvd that is close to the Bird Rock Village and beaches!  Fully remodeled in 2018 through local architect Melvin McGee this beautiful home was designed with the utmost of attention to detail.  From the moment you enter it will feel like you have arrived home with its Farmhouse touches modern accents and stunning ocean views.  Gorgeous wood floors throughout large living area with decorative beams large kitchen with beautiful kitchen island and stainless appliances recessed lighting throughout 2nd story master suite guest room downstairs private guest quarters or office with separate entrance over garage two patios to enjoy the sunsets central heat and air conditioning but also has mini-split system in master fireplace in living room and so much more!  Located west of LJ Blvd that is close to the Bird Rock Village and beaches! Equipment: Garage Door Opener Sewer:  Sewer Available Public Sewer Topography: LL,USD,2171,2171.0,sqft,4,3,0,1,1,1,Two,0,1,0,0,SINGLE_FAMILY,San Diego County
92037-16848752,9,1402,54296,USA,7/9/21,0,0,Listed for sale,1625790000000.0,4900000,1107,La Jolla,CA,2005,1178 Virginia Way,92037.0,-117.2706604,32.84298325,0,"""VILLAGE BEAUTY! Very private and serene this home is an oasis in downtown La Jolla. Walkable to the Village and La Jolla Cove this contemporary Mediterranean home is move-in ready. With an abundance of outdoor space its the perfect home for entertaining. Three of the bedrooms are en-suite and have private balconies. The elegant spacious master bedroom has a wonderful walk in closet with custom cabinetry. The master bathroom has a large soaking tub and fireplace. Off the master bedroom is a private patio and a balcony that overlooks the courtyard. The large chefs kitchen has a 6-burner Viking range and a generous island and opens to a charming courtyard thats made for outdoor dining. An outdoor shower is perfect for coming in from the surf. Enjoy warm nights in the covered cabana with an outdoor fireplace and large screen TV. Dreamy and romantic this charming villa is within walking distance to all the fabulous restaurants and stores that La Jolla has to offer and is very close to all the excellent La Jolla schools.""",USD,4428,4428.0,sqft,5,4,0,1,2,1,Two,0,1,0,0,SINGLE_FAMILY,San Diego County
92037-16848301,9,1406,54296,USA,7/9/21,0,0,Listed for sale,1625790000000.0,1299000,1309,La Jolla,CA,1970,457 Coast Blvd UNIT 503,92037.0,-117.2800903,32.84320068,0,Oceanfront building walking distance to all restaurants shops grocery store movie theater and world class beaches in the Village!  Sit on the park that is top of the bluff overlooking the ocean and watch the sunset in your own front yard or enjoy an ocean view and breeze from your living room kitchen and bedrooms.   Exterior building is going through a renovation with new windows and stucco for an updated look.  Kitchen and bathrooms have been updated as well.  One of very few buildings in San Diego that allows nightly rentals making this a very affordable second home and excellent investment! Equipment: Garage Door Opener Sewer:  Sewer Connected Topography: LL,USD,992,992.0,sqft,2,2,0,1,1,1,One,0,1,0,0,CONDO,San Diego County
92037-16835748,9,1407,54296,USA,7/9/21,0,0,Listing removed,1566860000000.0,2350,0,La Jolla,CA,1980,8795 Gilman Dr UNIT H,92037.0,-117.236618,32.86752701,0,Wonderful 2 bedroom/ 1 bath condo conveniently located in La Jolla. Walk to UCSD UTC dining shops and great freeway access. Sunny west facing top floor end unit. Laminate flooring throughout freshly painted walls. Natural light ample storage. Washer & Dryer in condo. Quiet well maintained complex with pool and spa. Detached single car garage with storage.,USD,822,822.0,sqft,1,2,0,1,1,1,One,0,1,0,0,CONDO,San Diego County
92037-16856346,9,1408,54296,USA,7/8/21,0,0,Listed for sale,1625700000000.0,2150000,1224,La Jolla,CA,1962,5515 Candlelight Dr,92037.0,-117.2582245,32.81477737,0,View home in La Jolla Mesa! Photos can’t do it justice – you’ll be drawn to some of the best views of the coastline bay and city when you enter this lovely and spacious home. The ocean view and nighttime view of the lights will have your guests talking! Designed for entertaining and indoor/outdoor living this property is located just east of Bird Rock and a short drive to the beach. The open floor plan and kitchen area are flanked by walls of glass that look out to the backyard area and beyond. The formal living area and fireplace take advantage of the outdoor views while the large primary bedroom also provides direct access to the back yard. Views are protected by the HOA front and rear including views of the ocean from the front guest room which provides for great sunset viewing opportunities. A well maintained two car garage with workshop space and thoughtful landscaping complete the property.,USD,1757,1757.0,sqft,2,3,0,1,2,1,One,0,1,0,0,SINGLE_FAMILY,San Diego County
