Year,Month,Amount,Term,Bank,State,City,Zip,CreateJob,NoEmp,RealEstate,RevLineCr,UrbanRural,Default
2001,November,32812,36,CALIFORNIA BANK & TRUST,CA,ANAHEIM,92801,0,1,No,Y,Rural,0
2001,April,30000,56,CALIFORNIA BANK & TRUST,CA,TORRANCE,90505,0,1,No,Y,Rural,0
2001,April,30000,36,CALIFORNIA BANK & TRUST,CA,SAN DIEGO,92103,0,10,No,Y,Rural,0
2003,October,50000,36,CALIFORNIA BANK & TRUST,CA,SAN DIEGO,92108,0,6,No,Y,Rural,0
2006,July,343000,240,SBA - EDF ENFORCEMENT ACTION,CA,LOS ANGELES,91345,3,65,Yes,N,Urban,0
2003,July,55825,84,CALIFORNIA BANK & TRUST,CA,SACRAMENTO,95831,0,1,No,Y,Rural,0
2006,August,297500,269,U.S. BANK NATIONAL ASSOCIATION,CA,HUNTINGTON PARK,90255,0,2,Yes,N,Urban,1
2006,July,67047,84,JPMORGAN CHASE BANK NATL ASSOC,CA,LONG BEACH,90808,2,1,No,Y,Undefined,0
2004,May,50000,22,BANK OF AMERICA NATL ASSOC,CA,SANTA ANA,92704,0,5,No,N,Urban,1
2004,April,17500,84,BANK OF AMERICA NATL ASSOC,CA,SAN RAMON,94583,0,4,No,Y,Urban,0
2004,April,50000,64,BANK OF AMERICA NATL ASSOC,CA,THOUSAND OAKS,91360,0,6,No,Y,Urban,1
2004,July,17536,84,BANK OF AMERICA NATL ASSOC,CA,SAN FRANCISCO,94103,0,1,No,Y,Urban,0
2004,January,33276,84,BANK OF AMERICA NATL ASSOC,CA,GRANITE BAY,95746,0,12,No,Y,Urban,0
2006,January,30000,76,JPMORGAN CHASE BANK NATL ASSOC,CA,VALENCIA,91354,0,2,No,Y,Undefined,1
2004,November,30502,60,BANK OF AMERICA NATL ASSOC,CA,BUTTE VALLEY,95965,0,8,No,Y,Urban,0
2006,December,25000,60,WELLS FARGO BANK NATL ASSOC,CA,BURBANK,91505,7,13,No,Y,Urban,0
2004,February,20000,84,BANK OF AMERICA NATL ASSOC,CA,LIVERMORE,94550,0,1,No,Y,Urban,0
1997,December,1000000,300,U.S. BANK NATIONAL ASSOCIATION,CA,SAN DIEGO,92101,0,15,Yes,N,Rural,0
2004,June,10097,38,BANK OF AMERICA NATL ASSOC,CA,WOODLAND,95695,0,2,No,Y,Urban,1
2004,June,10000,84,BANK OF AMERICA NATL ASSOC,CA,TARZANA,91356,0,22,No,Y,Urban,0
2006,June,79000,240,CDC SMALL BUS. FINAN CORP,CA,RIVERSIDE,92507,8,13,Yes,N,Urban,0
2006,February,249000,240,CDC SMALL BUS. FINAN CORP,CA,RIVERSIDE,92507,8,13,Yes,N,Urban,0
2004,September,4999,62,BANK OF AMERICA NATL ASSOC,CA,PICO RIVERA,90662,0,2,No,Y,Urban,1
2006,October,59450,84,JPMORGAN CHASE BANK NATL ASSOC,CA,STUDIO CITY,91604,0,3,No,Y,Undefined,0
2004,April,25530,84,BANK OF AMERICA NATL ASSOC,CA,SOUTH SAN FRANCISCO,94080,0,3,No,Y,Urban,0
2005,January,50000,67,BANK OF AMERICA NATL ASSOC,CA,INGLEWOOD,90305,0,12,No,N,Urban,1
2005,April,64000,32,BANK OF AMERICA NATL ASSOC,CA,LOS GATOS,95030,0,5,No,Y,Urban,0
2005,December,39000,84,BANK OF AMERICA NATL ASSOC,CA,SAN RAFAEL,94901,0,4,No,N,Urban,0
2005,March,25000,84,CAPITAL ONE NATL ASSOC,CA,KENSINGTON,94707,0,3,No,N,Urban,0
2005,April,32697,84,BANK OF AMERICA NATL ASSOC,CA,MORGAN HILL,95037,0,2,No,Y,Urban,0
2005,December,25000,84,BANK OF AMERICA NATL ASSOC,CA,GLENDALE,91208,0,4,No,Y,Urban,0
2005,October,10000,84,BANK OF AMERICA NATL ASSOC,CA,FOLSOM,95630,0,1,No,Y,Urban,0
2005,December,10000,84,CAPITAL ONE NATL ASSOC,CA,CHOWCHILLA,93610,0,2,No,N,Undefined,0
2005,January,12750,34,BANK OF AMERICA NATL ASSOC,CA,STUDIO CITY,91604,0,1,No,N,Urban,1
2005,December,35000,84,CAPITAL ONE NATL ASSOC,CA,LAGUNA HILLS,92656,0,1,No,N,Urban,0
1997,December,150500,300,U.S. BANK NATIONAL ASSOCIATION,CA,HEMET,92545,0,30,Yes,N,Rural,0
2005,September,100000,84,CAPITAL ONE NATL ASSOC,CA,FOUNTAIN VALLEY,92708,0,8,No,N,Urban,0
2005,March,50000,33,CAPITAL ONE NATL ASSOC,CA,Orange,92868,0,12,No,N,Urban,1
2005,August,50000,84,BANK OF AMERICA NATL ASSOC,CA,APPLE VALLEY,92307,0,3,No,Y,Urban,0
2005,September,12000,4,BANK OF AMERICA NATL ASSOC,CA,TULARE,93274,0,2,No,N,Urban,1
2005,February,11000,84,BANK OF AMERICA NATL ASSOC,CA,MAMMOTH LAKES,93546,0,2,No,Y,Undefined,0
2005,July,50000,84,CAPITAL ONE NATL ASSOC,CA,TEMECULA,92590,0,7,No,N,Urban,0
2005,July,25009,56,BANK OF AMERICA NATL ASSOC,CA,ADELANTO,92301,0,3,No,Y,Urban,1
2005,August,50591,50,BANK OF AMERICA NATL ASSOC,CA,APPLE VALLEY,92307,0,1,No,Y,Urban,1
2005,September,229540,84,CALIFORNIA BANK & TRUST,CA,La Mesa,91941,0,6,No,Y,Urban,0
2005,August,10000,61,BANK OF AMERICA NATL ASSOC,CA,WALNUT,91789,0,4,No,Y,Urban,1
2005,May,100000,42,CALIFORNIA BANK & TRUST,CA,Fullerton,92831,0,7,No,N,Urban,1
2005,June,100000,42,CALIFORNIA BANK & TRUST,CA,ANAHEIM,92801,0,10,No,N,Urban,1
2005,July,113000,84,BANK OF AMERICA NATL ASSOC,CA,HUNTINGTON BEACH,92648,0,4,No,Y,Urban,0
2005,August,50000,84,CAPITAL ONE NATL ASSOC,CA,VISTA,92083,2,18,No,N,Urban,0
2005,July,69500,49,BANK OF AMERICA NATL ASSOC,CA,RANCHO CUCAMONGA,91730,2,3,No,Y,Urban,1
2005,August,50000,60,CAPITAL ONE NATL ASSOC,CA,SAN FRANCISCO,94117,0,2,No,N,Urban,1
1997,May,90000,32,CALIFORNIA BANK & TRUST,CA,CLOVIS,93611,0,6,No,N,Rural,1
2005,March,10000,84,BANK OF AMERICA NATL ASSOC,CA,BURBANK,91505,0,2,No,Y,Urban,0
2005,July,100000,84,CAPITAL ONE NATL ASSOC,CA,Palm Desert,92260,4,58,No,N,Urban,0
2005,March,25000,53,BANK OF AMERICA NATL ASSOC,CA,ADELANTO,92301,1,2,No,Y,Urban,1
2005,September,23282,19,BANK OF AMERICA NATL ASSOC,CA,COTATI,94931,0,1,No,Y,Urban,1
2005,March,20000,42,BANK OF AMERICA NATL ASSOC,CA,SANTA ANA,92701,0,12,No,Y,Urban,1
2006,August,229000,240,GREATER SACRAMENTO CERT. DEVEL,CA,GRASS VALLEY,95945,6,13,Yes,N,Undefined,0
2005,March,83500,25,BANK OF AMERICA NATL ASSOC,CA,RANCHO SANTA MARGARITA,92688,2,2,No,N,Undefined,1
2005,July,50000,84,BANK OF AMERICA NATL ASSOC,CA,YORBA LINDA,92887,0,4,No,Y,Urban,0
2005,March,50000,84,CAPITAL ONE NATL ASSOC,CA,FAIR OAKS,95628,1,4,No,N,Urban,0
2005,May,58945,28,CAPITAL ONE NATL ASSOC,CA,BURBANK,91502,0,1,No,Y,Urban,1
2005,June,50000,84,CAPITAL ONE NATL ASSOC,CA,BASS LAKE,93604,1,30,No,N,Undefined,0
2006,April,116007,39,WELLS FARGO BANK NATL ASSOC,CA,GLENDALE,91221,1,3,No,Y,Urban,1
2005,April,64000,84,BANK OF AMERICA NATL ASSOC,CA,SAN CARLOS,94070,0,6,No,Y,Urban,0
2005,January,60000,60,WILSHIRE BANK,CA,Corona,92879,0,2,No,N,Urban,0
2005,March,58602,84,BANK OF AMERICA NATL ASSOC,CA,DANVILLE,94526,0,4,No,Y,Urban,0
1997,July,100000,119,FIRST BANK,CA,SAN DIEGO,92115,0,3,No,N,Rural,0
2005,August,19700,84,BANK OF AMERICA NATL ASSOC,CA,BEVERLY HILLS,90210,1,2,No,Y,Urban,0
