cryptocurrency,data_price,data_date,data_time,timestamp
bitcoin,,2017-05-09,1494288000000,1557285360746
bitcoin,1743.723523,2017-05-10,1494374400000,
bitcoin,1828.678209,2017-05-11,1494460800000,
bitcoin,1776.443919,2017-05-12,1494547200000,
bitcoin,1714.964198,2017-05-13,1494633600000,
bitcoin,1789.278913,2017-05-14,1494720000000,
bitcoin,1742.722945,2017-05-15,1494806400000,
bitcoin,,2017-05-16,1494892800000,
bitcoin,1802.035054,2017-05-17,1494979200000,
bitcoin,1840.501678,2017-05-18,1495065600000,
bitcoin,1932.284978,2017-05-19,1495152000000,
bitcoin,1988.961436,2017-05-20,,
bitcoin,2041.043206,2017-05-21,1495324800000,
bitcoin,2132.615875,2017-05-22,1495411200000,
bitcoin,2192.000968,2017-05-23,1495497600000,
bitcoin,,2017-05-24,1495584000000,
bitcoin,2545.894708,2017-05-25,1495670400000,
bitcoin,2372.674114,2017-05-26,1495756800000,
bitcoin,2046.891968,2017-05-27,1495843200000,
bitcoin,2155.227076,2017-05-28,1495929600000,
bitcoin,2212.049849,2017-05-29,,
bitcoin,2250.859259,2017-05-30,1496102400000,
bitcoin,,2017-05-31,1496188800000,
bitcoin,2372.288414,2017-06-01,1496275200000,
bitcoin,2407.755441,2017-06-02,1496361600000,
bitcoin,2500.43098,2017-06-03,1496448000000,
bitcoin,2505.279935,2017-06-04,1496534400000,
bitcoin,2588.95147,2017-06-05,1496620800000,
bitcoin,2819.741341,2017-06-06,1496707200000,
bitcoin,2807.993735,2017-06-07,1496793600000,
bitcoin,2746.115898,2017-06-08,1496880000000,
bitcoin,2817.290994,2017-06-09,1496966400000,
bitcoin,2846.735247,2017-06-10,1497052800000,
bitcoin,2894.776615,2017-06-11,1497139200000,
bitcoin,2782.433486,2017-06-12,1497225600000,
bitcoin,2697.921409,2017-06-13,1497312000000,
bitcoin,2644.42532,2017-06-14,1497398400000,
bitcoin,2357.075417,2017-06-15,1497484800000,
bitcoin,2457.454272,2017-06-16,1497571200000,
bitcoin,2566.438671,2017-06-17,1497657600000,
bitcoin,2570.472055,2017-06-18,1497744000000,
bitcoin,2570.784855,2017-06-19,1497830400000,
bitcoin,2675.428805,2017-06-20,1497916800000,
bitcoin,2714.153855,2017-06-21,1498003200000,
bitcoin,2689.351636,2017-06-22,1498089600000,
bitcoin,2734.367812,2017-06-23,1498176000000,
bitcoin,2671.63099,2017-06-24,1498262400000,
bitcoin,2569.003706,2017-06-25,1498348800000,
bitcoin,2466.322076,2017-06-26,1498435200000,
bitcoin,2417.867373,2017-06-27,1498521600000,
bitcoin,2543.737754,2017-06-28,1498608000000,
bitcoin,2566.851311,2017-06-29,1498694400000,
bitcoin,2539.860407,2017-06-30,1498780800000,
bitcoin,2451.2132,2017-07-01,1498867200000,
bitcoin,2459.347503,2017-07-02,1498953600000,
bitcoin,2541.037053,2017-07-03,1499040000000,
bitcoin,2612.25551,2017-07-04,1499126400000,
bitcoin,2590.641292,2017-07-05,1499212800000,
bitcoin,2606.473708,2017-07-06,1499299200000,
bitcoin,2553.676947,2017-07-07,1499385600000,
bitcoin,2520.624859,2017-07-08,1499472000000,
bitcoin,2545.218537,2017-07-09,1499558400000,
bitcoin,2453.34868,2017-07-10,1499644800000,
bitcoin,2346.694194,2017-07-11,1499731200000,
bitcoin,2354.414928,2017-07-12,1499817600000,
bitcoin,2378.79246,2017-07-13,1499904000000,
bitcoin,2291.077073,2017-07-14,1499990400000,
bitcoin,2096.0676,2017-07-15,1500076800000,
bitcoin,1958.249023,2017-07-16,1500163200000,
bitcoin,2071.957172,2017-07-17,1500249600000,
bitcoin,2288.241462,2017-07-18,1500336000000,
bitcoin,2327.194524,2017-07-19,1500422400000,
bitcoin,2498.842414,2017-07-20,1500508800000,
bitcoin,2725.390532,2017-07-21,1500595200000,
bitcoin,2789.302044,2017-07-22,1500681600000,
bitcoin,2774.08216,2017-07-23,1500768000000,
bitcoin,2758.004095,2017-07-24,1500854400000,
bitcoin,2639.38203,2017-07-25,1500940800000,
bitcoin,2531.377947,2017-07-26,1501027200000,
bitcoin,2597.712472,2017-07-27,1501113600000,
bitcoin,2759.912488,2017-07-28,1501200000000,
bitcoin,2743.7321,2017-07-29,1501286400000,
