Date,BTC,BTT,DOGE,ETH,LTC,XRP,SOLVE,XLM,TRON,ZIL
2019-05-20,8118.39,0.001187,0.003041,261.09,95.06,0.398003,0.338667,0.135545,0.028509,0.017992
2019-05-19,8200,0.001056,0.003178,234.03,86.65,0.4177,0.30043,0.141485,0.029277,0.01917
2019-05-18,7262.4,0.000993,0.003005,244.59,89.88,0.372736,0.28763,0.128833,0.026823,0.017685
2019-05-17,7363.69,0.000957,0.002962,264.39,95.75,0.386193,0.259506,0.126562,0.02722,0.017892
2019-05-16,7878.96,0.000885,0.003168,249,102.26,0.419707,0.223316,0.137283,0.028857,0.018725
2019-05-15,8203.32,0.000852,0.003308,217.44,91.69,0.456005,0.224973,0.137002,0.031348,0.020377
2019-05-14,7990.92,0.000817,0.003068,196.51,87.78,0.409062,,0.112994,0.027521,0.01787
2019-05-13,7824.93,0.000727,0.002756,188.23,84.79,0.325475,,0.100416,0.024617,0.01637
2019-05-12,6979.76,0.00065,0.002665,192.52,88.31,0.310074,,0.098866,0.023754,0.016052
2019-05-11,7219.95,0.000666,0.002754,172.21,76.68,0.324543,,0.104228,0.025273,0.016754
2019-05-10,6343.14,0.000649,0.002522,170.11,73.76,0.300387,,0.092452,0.023613,0.016259
2019-05-09,6153.09,0.000629,0.0025,169.58,73.83,0.296509,,0.090232,0.023368,0.015738
2019-05-08,5948.41,0.000665,0.002537,177.23,76.34,0.300721,,0.093697,0.024637,0.016591
2019-05-07,5907.47,0.000612,0.002536,171.07,74.09,0.299684,,0.094926,0.023841,0.016186
2019-05-06,5687.9,0.00062,0.002542,161.25,74.79,0.302389,,0.097809,0.023874,0.016687
2019-05-05,5715.86,0.000625,0.002653,161.85,76.92,0.302342,,0.098927,0.023421,0.016247
2019-05-04,5770.01,0.000627,0.00268,164.74,77.72,0.304552,,0.099677,0.023418,0.016027
2019-05-03,5657.4,0.000649,0.002721,158.7,72.16,0.308222,,0.102295,0.024073,0.017019
2019-05-02,5390.01,0.000655,0.002611,158.3,72.52,0.303239,,0.100275,0.023652,0.018032
2019-05-01,5321.15,0.000657,0.002521,160.4,73.51,0.304696,,0.101351,0.023776,0.017459
