Date,BTC,DOGE,ETH,LTC,XRP,XLM
2019-05-20,8200,0.003041,261.09,95.06,0.398003,0.135545
2019-05-19,7262.4,0.003178,234.03,86.65,0.4177,0.141485
2019-05-18,7363.69,0.003005,244.59,89.88,0.372736,0.128833
2019-05-17,7878.96,0.002962,264.39,95.75,0.386193,0.126562
2019-05-16,8203.32,0.003168,249,102.26,0.419707,0.137283
2019-05-15,7990.92,0.003308,217.44,91.69,0.456005,0.137002
2019-05-14,7824.93,0.003068,196.51,87.78,0.409062,0.112994
2019-05-13,6979.76,0.002756,188.23,84.79,0.325475,0.100416
2019-05-12,7219.95,0.002665,192.52,88.31,0.310074,0.098866
2019-05-11,6343.14,0.002754,172.21,76.68,0.324543,0.104228
2019-05-10,6153.09,0.002522,170.11,73.76,0.300387,0.092452
2019-05-09,5948.41,0.0025,169.58,73.83,0.296509,0.090232
2019-05-08,5907.47,0.002537,177.23,76.34,0.300721,0.093697
2019-05-07,5687.9,0.002536,171.07,74.09,0.299684,0.094926
2019-05-06,5715.86,0.002542,161.25,74.79,0.302389,0.097809
2019-05-05,5770.01,0.002653,161.85,76.92,0.302342,0.098927
2019-05-04,5657.4,0.00268,164.74,77.72,0.304552,0.099677
2019-05-03,5390.01,0.002721,158.7,72.16,0.308222,0.102295
2019-05-02,5321.15,0.002611,158.3,72.52,0.303239,0.100275
2019-05-01,5270.69,0.002521,160.4,73.51,0.304696,0.101351
2019-04-30,5148.25,0.002513,152.36,66.55,0.309476,0.099953
2019-04-29,5155,0.002466,153.19,67.78,0.294289,0.096475
2019-04-28,5170.6,0.002531,155.66,70.55,0.297426,0.098736
2019-04-27,5159.51,0.002516,153.41,71.64,0.296741,0.099951
2019-04-26,5134.81,0.002519,152.05,70.67,0.298502,0.09914
2019-04-25,5441.9,0.002506,165.75,73.14,0.289384,0.099075
2019-04-24,5532.75,0.002599,170.14,74.32,0.302318,0.103259
2019-04-23,5387.6,0.002772,171.6,76.93,0.321222,0.111824
2019-04-22,5297.64,0.002798,169.9,77.23,0.323934,0.113495
2019-04-21,5319.89,0.00276,173.73,81.69,0.322449,0.112404
2019-04-20,5290.37,0.002902,173.83,82.57,0.328476,0.115532
2019-04-19,5281.81,0.002893,174.15,82.07,0.331902,0.115737
2019-04-18,5227,0.002946,166.54,79.15,0.337065,0.117363
2019-04-17,5202.9,0.00281,166.38,80.89,0.335453,0.116636
2019-04-16,5029.99,0.002835,160.24,78.24,0.327218,0.117505
2019-04-15,5164.27,0.00279,168.27,83.77,0.320913,0.113629
2019-04-14,5066.22,0.002882,163.75,77.95,0.328809,0.116663
2019-04-13,5078.19,0.002872,164.27,78.92,0.326031,0.115898
2019-04-12,5040.12,0.002856,164.92,79.23,0.326346,0.114609
2019-04-11,5318.58,0.002789,177.55,88.43,0.330984,0.116685
2019-04-10,5193.49,0.003021,175.83,86.89,0.354792,0.125462
2019-04-09,5285.54,0.002884,180.74,89.49,0.349462,0.125384
2019-04-08,5194.79,0.003045,174.84,91.88,0.358234,0.131996
2019-04-07,5044.13,0.003418,165.79,92.37,0.359856,0.130303
2019-04-06,5040.66,0.003439,166.08,88.88,0.354405,0.124729
2019-04-05,4907.3,0.00359,157.65,84.95,0.361803,0.126367
2019-04-04,4975.97,0.003697,161.33,85.72,0.332513,0.118788
2019-04-03,4901.93,0.003164,164.69,77.5,0.342234,0.121339
2019-04-02,4137.01,0.002795,141,60.35,0.351499,0.121901
2019-04-01,3975.01,0.002461,137.59,59.32,0.312747,0.109615
2019-03-19,3970.5,0.00208,137.01,58.99,0.309229,0.107651
2019-03-18,3967.01,0.00208,138.07,60.29,0.310632,0.107359
2019-03-17,3990,0.002087,140.48,61.01,0.307929,0.107572
2019-03-16,3902.8,0.002074,135.99,58.13,0.309246,0.10744
2019-03-15,3853.95,0.002085,131.4,55.61,0.312465,0.108062
2019-03-14,3851.02,0.002054,131.16,55.06,0.30506,0.103379
2019-03-13,3860,0.002043,132.8,56.2,0.304055,0.102469
2019-03-12,3849.68,0.002054,132.05,54.65,0.308992,0.106012
2019-03-11,3900.92,0.002064,134.66,56.3,0.312359,0.108281
2019-03-10,3917,0.002052,136.41,57.43,0.311541,0.108693
2019-03-09,3843.12,0.002054,132.75,55.33,0.312718,0.107947
2019-03-08,3857.05,0.002061,136.29,56.51,0.31961,0.111403
2019-03-07,3851.89,0.002091,137,55.17,0.319281,0.113248
2019-03-06,3844.59,0.002083,136.3,52.3,0.31744,0.115914
2019-03-05,3700.72,0.002081,125.24,45.64,0.317612,0.109385
2019-03-04,3786.93,0.002077,129.78,47.49,0.320468,0.109619
2019-03-03,3809.7,0.002048,132.32,48.25,0.315052,0.107773
2019-03-02,3806.17,0.002039,134.72,46.81,0.312955,0.107272
2019-03-01,3792.14,0.002025,134.48,45.44,0.314098,0.108199
2019-02-28,3799.92,0.002012,134.46,44.96,0.310201,0.104598
2019-02-27,3799.48,0.001966,135.76,44.66,0.311065,0.102263
2019-02-26,3818.79,0.001999,137.64,45.37,0.313107,0.100039
2019-02-25,3734.22,0.001998,131.76,43.57,0.313826,0.089744
2019-02-24,4110,0.00198,157.56,51.19,0.310087,0.087246
2019-02-23,3942.02,0.001991,146.68,49.07,0.314766,0.085541
2019-02-22,3897.71,0.001983,144.21,48.46,0.317031,0.085566
2019-02-21,3938.99,0.001985,147.19,51.08,0.316507,0.086299
2019-02-20,3888.01,0.001982,142.69,46.91,0.305133,0.083539
2019-02-19,3867,0.001999,144.56,47.34,0.312554,0.087235
2019-02-18,3625.08,0.002003,132.34,43.45,0.315126,0.08446
2019-02-17,3582.37,0.001994,121.56,43.15,0.317312,0.085833
2019-02-16,3566.59,0.001976,120.42,42.08,0.315078,0.085503
2019-02-15,3561.5,0.002019,119.39,40.93,0.313106,0.086195
2019-02-14,3576.68,0.002023,120.74,41.21,0.319477,0.0868
2019-02-13,3588.06,0.00203,120.82,43.35,0.32851,0.087305
2019-02-12,3590.36,0.001974,119.55,42.37,0.301443,0.084234
2019-02-11,3648.85,0.002083,123.94,46.51,0.33262,0.094257
2019-02-10,3623.73,0.002056,118.06,44.2,0.321904,0.090668
2019-02-09,3622,0.002028,117.98,42.56,0.321291,0.089091
2019-02-08,3359,0.002079,103.21,32.85,0.33288,0.091735
