date,BK,FANG,JNJ,LUV,MU,NKE,SBUX,T,WDC,WRK
2015-06-24,43.29,77.955,77.955,34.35,24.06,53.11,53.71,35.78,87.73,58.5699
2015-06-25,42.85,76.39,76.39,34.49,24.02,52.61,54.07,36.18,85.95,57.2022
2015-06-26,42.98,75.25,75.25,34.32,19.66,54.855,54.62,36.12,84.45,57.2022
2015-06-29,41.79,75.16,75.16,33.18,18.73,53.835,53.55,35.77,81.96,56.1857
2015-06-30,41.97,75.38,75.38,33.09,18.84,54.01,53.615,35.52,78.42,56.2781
2015-07-01,42.18,72.82,72.82,32.62,18.78,54.715,53.89,35.57,79.44,57.6643
2015-07-02,41.79,73.13,73.13,32.51,19.07,54.935,54.24,35.73,80.87,60.0577
2015-07-06,41.55,70.21,70.21,33.03,18.32,54.92,54.305,35.61,79.815,58.9118
2015-07-07,41.54,71.06,71.06,33.41,18.2,55.645,54.375,35.77,79.82,57.729
2015-07-08,40.54,69.29,69.29,32.36,17.63,54.635,53.39,34.79,78.31,55.1784
2015-07-09,40.99,70.86,70.86,32.52,17.15,54.72,54.05,34.39,77.35,54.9936
2015-07-10,41.71,70.89,70.89,33.83,17.57,55.26,54.57,34.65,77.1,56.7402
2015-07-13,42.38,71.31,71.31,33.93,17.61,56.205,55.7,34.88,77.71,57.4055
2015-07-14,42.53,73.34,73.34,33.86,19.61,56.17,55.75,35.12,78.36,57.4702
2015-07-15,42.67,70.69,70.69,33.92,18.89,55.95,55.34,34.73,78.69,56.9435
2015-07-16,43.07,69.19,69.19,34.57,19.61,56.17,55.74,35.16,78.89,57.5904
2015-07-17,42.82,66.27,66.27,34.76,20.12,56.4,55.69,35.01,78.93,57.0636
2015-07-20,42.98,64.83,64.83,34.31,18.89,56.565,56.21,34.9,78.38,56.8788
2015-07-21,44.15,65.97,65.97,34.71,18.88,56.495,56.2,34.57,78.69,55.3078
2015-07-22,44.73,66.24,66.24,35.12,18.0,57.045,56.69,34.27,78.52,55.5758
2015-07-23,44.47,66.29,66.29,36.48,18.7,57.0,56.56,33.93,77.9,55.3078
2015-07-24,43.72,63.9,63.9,35.0,18.34,56.495,57.29,34.29,77.26,54.4391
2015-07-27,43.26,63.3,63.3,35.09,18.12,55.865,56.98,34.32,76.49,53.7738
2015-07-28,43.59,64.99,64.99,36.06,19.75,56.735,57.14,34.33,77.74,54.8365
2015-07-29,43.78,67.65,67.65,35.52,19.87,57.46,57.51,34.69,78.75,54.8827
2015-07-30,43.93,67.68,67.68,36.31,19.9,57.505,58.06,34.8,86.44,58.0616
2015-07-31,43.4,67.3,67.3,36.2,18.51,57.61,57.93,34.74,86.06,58.2742
2015-08-03,43.4,66.82,66.82,37.53,19.0,57.415,58.19,34.66,85.85,58.3758
2015-08-04,43.89,67.99,67.99,37.93,19.01,57.885,58.7,34.58,84.39,57.8214
2015-08-05,44.4,68.37,68.37,37.89,18.91,58.375,59.01,34.57,84.69,57.9877
2015-08-06,44.28,70.48,70.48,37.81,18.72,57.56,57.23,34.24,84.19,57.0544
2015-08-07,44.75,68.84,68.84,37.58,18.44,57.255,57.2,34.21,83.51,57.8121
2015-08-10,45.26,70.19,70.19,37.79,18.82,57.68,56.27,34.78,84.96,58.2003
2015-08-11,44.67,70.87,70.87,38.36,17.88,57.23,56.35,34.65,83.19,58.5884
2015-08-12,43.9,72.48,72.48,38.68,18.19,56.53,56.38,34.02,83.16,58.5052
2015-08-13,43.87,71.67,71.67,38.97,17.7,56.8,56.85,33.81,81.57,58.3389
2015-08-14,44.07,73.9,73.9,39.36,16.95,57.18,57.1,34.05,82.5,58.4313
2015-08-17,44.06,72.21,72.21,40.45,17.22,57.49,57.74,34.23,83.6,58.5329
2015-08-18,44.35,73.38,73.38,40.19,16.38,57.41,57.83,34.35,83.31,58.3666
2015-08-19,44.18,71.84,71.84,40.45,15.9,57.48,57.59,34.36,81.71,57.3593
2015-08-20,42.8,70.23,70.23,39.06,14.74,56.15,55.81,33.95,79.79,56.0748
2015-08-21,41.45,66.55,66.55,37.91,14.53,53.435,52.84,33.38,79.44,54.5316
2015-08-24,38.64,61.75,61.75,37.21,14.44,51.935,50.34,32.37,76.92,52.1751
2015-08-25,37.78,60.82,60.82,36.52,14.27,51.765,51.09,31.8,75.16,51.2879
2015-08-26,39.47,62.09,62.09,37.39,14.42,54.38,53.96,32.69,78.63,52.1658
2015-08-27,40.8,65.7,65.7,37.31,15.67,56.31,55.95,33.44,81.41,54.7256
2015-08-28,40.67,66.56,66.56,37.1,15.96,56.25,55.63,33.29,81.28,55.6867
2015-08-31,39.8,68.29,68.29,36.7,16.41,55.875,54.71,33.2,81.96,54.8458
2015-09-01,38.34,64.52,64.52,36.36,15.82,54.315,53.5,32.32,80.45,53.9956
2015-09-02,39.02,67.45,67.45,37.72,16.29,55.35,55.26,32.82,81.15,53.7553
2015-09-03,39.28,66.98,66.98,37.43,16.59,55.425,54.69,33.04,81.8,54.2636
2015-09-04,38.49,66.0,66.0,37.23,16.82,54.845,54.28,32.56,80.02,52.9975
2015-09-08,39.32,67.31,67.31,38.11,17.53,55.875,55.21,33.14,83.9,54.1527
2015-09-09,38.98,65.05,65.05,38.3,16.96,54.93,54.69,32.78,82.39,53.8292
2015-09-10,39.33,66.88,66.88,38.36,17.2,55.19,55.37,32.75,81.24,54.2821
2015-09-11,39.56,66.31,66.31,38.54,16.8,55.91,56.53,32.72,80.53,54.2913
2015-09-14,39.56,65.72,65.72,38.87,16.7,55.945,56.29,32.55,80.64,55.0583
2015-09-15,40.06,66.7,66.7,38.9,16.52,56.92,56.91,32.86,80.74,55.1507
2015-09-16,40.23,69.89,69.89,39.14,16.68,57.79,57.26,32.94,81.16,54.3283
2015-09-17,39.81,69.81,69.81,39.49,16.41,57.635,57.28,32.78,80.73,53.3487
2015-09-18,38.86,69.0,69.0,39.47,15.5,57.525,56.84,32.55,75.87,51.4728
2015-09-21,39.43,69.42,69.42,39.38,15.75,58.28,57.54,32.56,76.26,51.6206
2015-09-22,38.85,69.18,69.18,38.24,15.41,57.985,57.12,32.27,72.05,49.8463
2015-09-23,38.82,66.49,66.49,38.58,14.81,57.715,57.79,32.2,71.44,48.7836
2015-09-24,38.52,66.67,66.67,38.17,15.34,57.395,58.37,32.11,71.4,48.34
2015-09-25,39.6,66.01,66.01,38.09,14.91,62.5,57.99,32.33,70.47,48.0074
2015-09-28,38.2,62.63,62.63,37.45,14.06,61.07,55.77,31.9,68.25,46.1776
2015-09-29,38.44,63.0,63.0,37.68,14.38,59.835,55.72,32.07,69.37,46.7321
2015-09-30,39.15,64.6,64.6,38.04,14.98,61.485,56.84,32.58,79.44,47.5361
2015-10-01,39.36,65.56,65.56,38.41,14.77,61.915,57.48,32.53,77.89,48.0536
2015-10-02,39.17,69.36,69.36,38.38,15.91,62.605,58.08,32.64,79.44,48.9869
2015-10-05,40.15,72.21,72.21,39.3,17.57,62.135,59.04,33.43,82.14,49.9942
2015-10-06,39.96,72.58,72.58,38.0,18.22,61.595,58.69,33.31,83.02,50.1883
2015-10-07,40.55,73.65,73.65,38.71,18.62,61.05,58.78,33.12,84.49,49.9572
2015-10-08,40.87,76.22,76.22,38.76,18.72,62.455,59.46,33.4,85.27,50.0774
2015-10-09,40.45,76.95,76.95,39.94,18.16,62.47,60.07,33.14,86.0,53.2008
2015-10-12,40.46,76.91,76.91,41.22,18.03,63.215,60.54,33.3,85.01,52.055
2015-10-13,39.84,76.17,76.17,40.82,18.18,62.905,60.16,33.22,84.37,51.3249
2015-10-14,39.26,76.43,76.43,40.84,18.82,62.92,58.82,33.27,83.19,51.5282
2015-10-15,40.48,75.68,75.68,41.24,18.66,64.395,59.69,33.49,81.12,51.7592
2015-10-16,40.49,77.18,77.18,40.56,18.5,65.235,59.93,33.83,79.52,51.5559
2015-10-19,40.17,73.31,73.31,41.41,19.16,66.605,60.97,33.63,80.48,50.1513
2015-10-20,41.25,73.36,73.36,41.38,17.09,66.185,60.88,33.75,74.86,49.68
