Symbol,Date,Close
L,1/2/2018,57.99
L,1/3/2018,57.41
L,1/4/2018,57.42
L,1/5/2018,57.42
L,1/8/2018,56.86
L,1/9/2018,57.37
L,1/10/2018,57.09
L,1/11/2018,56.78
L,1/12/2018,56.97
L,1/15/2018,57.38
L,1/16/2018,57.45
L,1/17/2018,57.95
L,1/18/2018,58.51
L,1/19/2018,58.17
L,1/22/2018,58.56
L,1/23/2018,58.62
L,1/24/2018,58.56
L,1/25/2018,58.41
L,1/26/2018,58.93
L,1/29/2018,58.52
L,1/30/2018,56.67
L,1/31/2018,56.33
L,2/1/2018,55.36
L,2/2/2018,54.97
L,2/5/2018,54.84
L,2/6/2018,54.73
L,2/7/2018,54.91
L,2/8/2018,53.98
L,2/9/2018,54.1
L,2/12/2018,54.91
L,2/13/2018,54.4
L,2/14/2018,54.54
L,2/15/2018,54.72
L,2/16/2018,55.7
L,2/20/2018,55.6
L,2/21/2018,55.22
L,2/22/2018,54.24
L,2/23/2018,54.84
L,2/26/2018,55.28
L,2/27/2018,55.95
L,2/28/2018,55.73
L,3/1/2018,54.97
L,3/2/2018,54.75
L,3/5/2018,55.19
L,3/6/2018,55.77
L,3/7/2018,55.45
L,3/8/2018,55.83
L,3/9/2018,56.22
L,3/12/2018,56.61
L,3/13/2018,56.58
L,3/14/2018,56.41
L,3/15/2018,55.98
L,3/16/2018,55.64
L,3/19/2018,55.99
L,3/20/2018,56.28
L,3/21/2018,55.73
L,3/22/2018,54.99
L,3/23/2018,54.02
L,3/26/2018,54.25
L,3/27/2018,53.67
L,3/28/2018,54.53
L,3/29/2018,55.03
L,4/2/2018,54.49
L,4/3/2018,54.33
L,4/4/2018,54.6
L,4/5/2018,54.62
L,4/6/2018,54.2
L,4/9/2018,55.35
L,4/10/2018,54.28
L,4/11/2018,53.91
L,4/12/2018,53.97
L,4/13/2018,53.51
L,4/16/2018,53.64
L,4/17/2018,53.77
L,4/18/2018,54.73
L,4/19/2018,55.23
L,4/20/2018,55.33
L,4/23/2018,55.99
L,4/24/2018,54.56
L,4/25/2018,55.06
L,4/26/2018,55.36
L,4/27/2018,55.77
L,4/30/2018,55.21
L,5/1/2018,55.43
L,5/2/2018,55.33
L,5/3/2018,54.66
L,5/4/2018,54.76
L,5/7/2018,55.01
L,5/8/2018,55.47
L,5/9/2018,55.23
L,5/10/2018,56.07
L,5/11/2018,55.64
L,5/14/2018,55.95
L,5/15/2018,55.95
L,5/16/2018,55.59
L,5/17/2018,55.43
L,5/18/2018,55.61
L,5/22/2018,55.4
L,5/23/2018,55.69
L,5/24/2018,55.44
L,5/25/2018,55.77
L,5/28/2018,55.41
L,5/29/2018,55.86
L,5/30/2018,56.35
L,5/31/2018,56.69
L,6/1/2018,56.75
L,6/4/2018,56.5
L,6/5/2018,56.42
L,6/6/2018,55.47
L,6/7/2018,54.52
L,6/8/2018,55.27
L,6/11/2018,55.5
L,6/12/2018,55.77
L,6/13/2018,55.46
L,6/14/2018,55.61
L,6/15/2018,55.99
L,6/18/2018,56.37
L,6/19/2018,55.99
L,6/20/2018,57.45
L,6/21/2018,56.97
L,6/22/2018,57.01
L,6/25/2018,57.01
L,6/26/2018,57.48
L,6/27/2018,57.77
L,6/28/2018,57.11
L,6/29/2018,57.15
L,7/3/2018,56.81
L,7/4/2018,56.73
L,7/5/2018,56.1
L,7/6/2018,56.6
L,7/9/2018,56.65
L,7/10/2018,56.91
L,7/11/2018,57.58
L,7/12/2018,58.52
L,7/13/2018,58.49
L,7/16/2018,58.75
L,7/17/2018,58.95
L,7/18/2018,58.61
L,7/19/2018,58.84
L,7/20/2018,58.61
L,7/23/2018,58.67
L,7/24/2018,58.13
L,7/25/2018,57.94
L,7/26/2018,58.87
L,7/27/2018,58.6
L,7/30/2018,58.12
L,7/31/2018,58.15
L,8/1/2018,57.43
L,8/2/2018,57.49
L,8/3/2018,57.53
L,8/7/2018,56.89
L,8/8/2018,57.25
L,8/9/2018,57.63
L,8/10/2018,56.72
L,8/13/2018,56.94
L,8/14/2018,58.13
L,8/15/2018,57.7
L,8/16/2018,58.34
L,8/17/2018,58.6
L,8/20/2018,58.2
L,8/21/2018,58.16
L,8/22/2018,57.55
L,8/23/2018,57.84
L,8/24/2018,57.52
L,8/27/2018,57.47
L,8/28/2018,57.31
L,8/29/2018,57.36
L,8/30/2018,57.48
L,8/31/2018,57.07
L,9/4/2018,56
L,9/5/2018,58.56
L,9/6/2018,57.54
L,9/7/2018,57.32
L,9/10/2018,57.25
L,9/11/2018,57.91
L,9/12/2018,57.48
L,9/13/2018,57.01
L,9/14/2018,56.18
L,9/17/2018,56.43
L,9/18/2018,57.62
L,9/19/2018,57.64
L,9/20/2018,58.02
L,9/21/2018,57.62
L,9/24/2018,57.29
L,9/25/2018,56.38
L,9/26/2018,56.32
L,9/27/2018,56.27
L,9/28/2018,56.1
L,10/1/2018,55.12
L,10/2/2018,54.95
L,10/3/2018,54.7
L,10/4/2018,54.35
L,10/5/2018,53.83
L,10/9/2018,54.04
L,10/10/2018,53.47
L,10/11/2018,52.98
L,10/12/2018,53.71
L,10/15/2018,53.75
L,10/16/2018,53.97
L,10/17/2018,54.31
L,10/18/2018,54.56
L,10/19/2018,55.72
L,10/22/2018,55.29
L,10/23/2018,55.36
L,10/24/2018,55.5
L,10/25/2018,54.92
L,10/26/2018,54.64
L,10/29/2018,54.92
L,10/30/2018,55.44
L,10/31/2018,55.66
L,11/1/2018,55.12
L,11/2/2018,52.1
L,11/5/2018,54.59
L,11/6/2018,55.31
